Leaf,Measurement Type,Integration Time,LED Current,Score
mango,raw,50,12.5 mA,0.8995215546023283
mango,raw,50,12.5 mA,0.8765725355599053
mango,raw,50,12.5 mA,0.8453080984414469
mango,raw,50,12.5 mA,0.9272462254036736
mango,raw,50,12.5 mA,0.9146432710607547
mango,raw,50,12.5 mA,0.8580235777521789
mango,raw,50,12.5 mA,0.8930411378758725
mango,raw,50,12.5 mA,0.874434469750452
mango,raw,50,12.5 mA,0.8579852350236008
mango,raw,50,12.5 mA,0.8610799725131865
mango,raw,50,25 mA,0.8765238215113191
mango,raw,50,25 mA,0.9053063589091619
mango,raw,50,25 mA,0.8792847731027851
mango,raw,50,25 mA,0.9208039790289597
mango,raw,50,25 mA,0.9274346904483027
mango,raw,50,25 mA,0.8771718518071802
mango,raw,50,25 mA,0.8722220084187151
mango,raw,50,25 mA,0.8777568531021369
mango,raw,50,25 mA,0.8849194936823104
mango,raw,50,25 mA,0.881746264351769
mango,raw,50,50 mA,0.8627903587853696
mango,raw,50,50 mA,0.8844263220671473
mango,raw,50,50 mA,0.8211062790281258
mango,raw,50,50 mA,0.8670396935251006
mango,raw,50,50 mA,0.8812620493344472
mango,raw,50,50 mA,0.8390174121458592
mango,raw,50,50 mA,0.8921653061881147
mango,raw,50,50 mA,0.8262676746149
mango,raw,50,50 mA,0.8086828713403766
mango,raw,50,50 mA,0.8727951510917685
mango,raw,50,100 mA,0.8313430109526334
mango,raw,50,100 mA,0.9045873389599939
mango,raw,50,100 mA,0.9028537660628703
mango,raw,50,100 mA,0.8921255663687924
mango,raw,50,100 mA,0.9092439144785917
mango,raw,50,100 mA,0.9147431483527592
mango,raw,50,100 mA,0.8438199008548024
mango,raw,50,100 mA,0.9020694182493859
mango,raw,50,100 mA,0.883036082500793
mango,raw,50,100 mA,0.8549955224519754
mango,raw,100,12.5 mA,0.907344838367339
mango,raw,100,12.5 mA,0.8969642779444346
mango,raw,100,12.5 mA,0.8566602937367458
mango,raw,100,12.5 mA,0.9091240402346198
mango,raw,100,12.5 mA,0.8840235194020392
mango,raw,100,12.5 mA,0.8686449564150536
mango,raw,100,12.5 mA,0.8490819150885915
mango,raw,100,12.5 mA,0.8610630313093407
mango,raw,100,12.5 mA,0.8966132262815822
mango,raw,100,12.5 mA,0.8932092663205764
mango,raw,100,25 mA,0.9068311455401729
mango,raw,100,25 mA,0.917260136321153
mango,raw,100,25 mA,0.9012685436617499
mango,raw,100,25 mA,0.908401017559583
mango,raw,100,25 mA,0.906890016949949
mango,raw,100,25 mA,0.9264815647119591
mango,raw,100,25 mA,0.8802235224793488
mango,raw,100,25 mA,0.8724379744547301
mango,raw,100,25 mA,0.8757637132457976
mango,raw,100,25 mA,0.8625339904592817
mango,raw,100,50 mA,0.8378592197967815
mango,raw,100,50 mA,0.8470096449058597
mango,raw,100,50 mA,0.8856392564091389
mango,raw,100,50 mA,0.9009961940948358
mango,raw,100,50 mA,0.8684277870259999
mango,raw,100,50 mA,0.8701685906461145
mango,raw,100,50 mA,0.8696685614228999
mango,raw,100,50 mA,0.90053509231672
mango,raw,100,50 mA,0.8986750142025948
mango,raw,100,50 mA,0.897828199325098
mango,raw,100,100 mA,0.91311263506081
mango,raw,100,100 mA,0.893307088368699
mango,raw,100,100 mA,0.8516552174972618
mango,raw,100,100 mA,0.7647218723213994
mango,raw,100,100 mA,0.851709700822251
mango,raw,100,100 mA,0.8442375166258085
mango,raw,100,100 mA,0.8973014067600124
mango,raw,100,100 mA,0.7817790302518528
mango,raw,100,100 mA,0.7697900238550945
mango,raw,100,100 mA,0.9075220265922606
mango,raw,150,12.5 mA,0.8284702948349741
mango,raw,150,12.5 mA,0.9071326761000075
mango,raw,150,12.5 mA,0.9100907330603529
mango,raw,150,12.5 mA,0.8259085038413826
mango,raw,150,12.5 mA,0.8739368391747809
mango,raw,150,12.5 mA,0.8897361141554003
mango,raw,150,12.5 mA,0.9020592730450541
mango,raw,150,12.5 mA,0.8773081911590552
mango,raw,150,12.5 mA,0.8866967431465115
mango,raw,150,12.5 mA,0.9032354516311387
mango,raw,150,25 mA,0.8880351690465131
