Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
banana,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9325541463855822
banana,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8732365590061409
banana,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9060930980900945
banana,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8760350972705444
banana,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8700389170216019
banana,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.9298531955756802
banana,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.7299631174471736
banana,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.9061400342795384
banana,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.9200642646770425
banana,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.8803968311640709
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9082128525922404
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.849726445921908
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8201987345482914
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.884869913017621
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.6780506596891196
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9147190724075012
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.6700636073785299
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.87192218498894
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9122951122342885
banana,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7375010331801373
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.891162595510103
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8381584163686477
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9250333864800576
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8946187045055479
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8082280903994704
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9302273194402181
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.7272229500192959
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9064780317323057
banana,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9227914691161256
