Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
banana,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9170250971974013
banana,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.88986516885329
banana,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9414101463925573
banana,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9087477755632809
banana,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9180418826087324
banana,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.928430733906153
banana,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8433544465868141
banana,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9200842422245328
banana,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9405658329139402
banana,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9395234558056842
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7892041229878852
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8764135339434524
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.1731587712724456
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7039681219582857
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.784895307963966
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.6115486990108963
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.5110786294621603
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.5265399378726774
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8432119900341114
banana,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.898265551935129
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8842958837814633
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9452879369280736
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8826252508504133
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9055526537315999
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9007255876938193
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9121553126002632
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8468547599774356
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9317840164155147
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9473582448006606
banana,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9402208338457708
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.43445754722415186
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.19116807777662248
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.34625198673879887
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.28611755027179653
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.023751414410736693
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-2.6615074396432314
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.06393154492333364
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-1.536756607009238
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.4229604335502418
banana,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.4401760988153428
banana,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9490686899079666
banana,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9019458802657072
banana,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9164289377005237
banana,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8295359056771413
banana,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9416403737895731
banana,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.9231134236894554
banana,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.834270262832745
banana,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.9344425984219212
banana,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.9422322192109945
banana,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.9413654948201762
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.9059200270183173
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.921757992140283
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8271729426284817
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8820245810713004
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.9536994371642743
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9034726913818889
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8370156563042117
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9415072590056002
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9454800770435146
banana,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9381710260417268
banana,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9105463515753013
banana,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9243171312110012
banana,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9105103807706879
banana,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.8975741638767547
banana,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9526365188648164
banana,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.9009262428740848
banana,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.81721656371249
banana,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.9341265929617782
