Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7157046306507446
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7353628951337758
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.6371216751120469
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7122540310016103
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.6922909322746714
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.5776755662765937
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.7309851340445639
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.8294303902900506
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.8244500291750366
jasmine,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.8787272519549864
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.6927455874526223
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8955049037832928
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.42278548000808425
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7960721583947982
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8374538380929218
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.5812012629979398
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7618531098266927
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7767940534659588
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8059075697543945
jasmine,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8333084048484125
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8019514531441162
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.6544383196547635
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8832956576806021
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.7482711588351892
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8224360234566938
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.585250613091858
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.7264282114498134
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8324275827004867
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8292505406997346
jasmine,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.7961101491561895
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8161688130680637
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8367914476101628
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.7306689485029092
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.6381191771543802
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8087848063179057
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.5878025039528176
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.7558355249330275
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.797515233843295
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.8290249350584968
jasmine,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.4775737829279135
jasmine,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.798040359422619
jasmine,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8101926211182073
jasmine,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.7428966139508405
jasmine,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.7463561650850219
jasmine,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.48781837390529326
