Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8075937319387271
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.6945081456070206
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7652386919936658
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.852020901713079
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7116675785780843
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.5267503952327892
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8274542063682933
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.7768093340628703
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8535817735485175
jasmine,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8716403678793513
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.577374524798927
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.2771257768215045
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,-3.2161617720581406
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.19328046776663443
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.353208334535025
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.169619285689679
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.22028843716344038
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.38687508959263917
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,-1.4403557999488839
jasmine,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.5556648891745068
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.6689438650986497
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8103708610561619
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8249735440024486
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.6416671994517702
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8086653039925336
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.6080779972653927
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8113828002628265
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8061265362271575
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8824402831214028
jasmine,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8706115327505749
jasmine,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-16.923079187576054
jasmine,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.35141275346443446
jasmine,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.18224423428232361
