Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
mango,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9516929534970452
mango,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9205426093484155
mango,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.958566280948474
mango,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9451081875906546
mango,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9310512632870396
mango,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.930776733864616
mango,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.9575928173568643
mango,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.9558711226075964
mango,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.941481237327621
mango,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.93754231222776
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9319252134873649
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8969768294095642
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9678563688224356
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9137642793905326
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9221032211323901
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.922412729676516
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9500266723396847
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9535254458680568
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9393763087361867
mango,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9326860171168811
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8831680452515385
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.925072128355283
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.967293404597418
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9536302073317015
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.94085412433922
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9315839957871899
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9562849653247574
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9574308151325799
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9367301135725745
mango,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9362711341274149
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.950709084267575
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.9247214261230259
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.9250881827282365
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.9560675305461189
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.938169889973361
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.9208598553781752
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.9588453898393294
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.9488493040064502
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.9379430171958649
mango,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.9289764573988828
mango,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9750424021338978
mango,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9471130053960853
mango,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9564344572666776
mango,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9271110608128863
mango,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.9308963516751387
mango,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.928180427356445
mango,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.9565935529379419
mango,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.955933777118729
mango,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.9414421157903743
mango,as7262,raw,50,12.5 mA,Poly,PLS,K Fold,0.9335144092578067
mango,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8777394598321813
mango,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8719174437711446
mango,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.9033354757261842
mango,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.866718191459666
mango,as7262,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.9164886202076812
mango,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9294140956414652
mango,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9073979013969403
mango,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8846091384319029
mango,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8553953810799183
mango,as7262,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8558099249680283
mango,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9190162608407232
mango,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.8878233165641191
mango,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.7701854480478312
mango,as7262,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.8839376249615206
