Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
mango,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9624562867109743
mango,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.960645523353197
mango,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9502319250245015
mango,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9582444792890358
mango,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.965981208871058
mango,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9704562727070571
mango,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9602707906155202
mango,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9732518419982428
mango,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9572308733366963
mango,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9574682192532349
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9223801844573385
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.856114364128415
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9637844648642413
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9326549989980809
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.3944195339269012
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8783291859490571
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8957277355989148
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8525365660272786
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9724603179033152
mango,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.5749469396595079
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9575685166664225
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9624180796881793
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9798274073576427
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9745074077293526
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9512302187071868
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9759385442058459
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9281951877940728
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9645327109091306
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9608776508328392
mango,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.952661024838846
mango,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8059881126460754
mango,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.7603672932655741
mango,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.030061876103973484
mango,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.8436267592845821
mango,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.12911961738658495
mango,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.631302673181915
mango,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-0.6210607652921054
mango,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-4.577595386938779
