Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
rice,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8524589495584901
rice,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8417413309025368
rice,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.5148614398136276
rice,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7910397663160852
rice,as7262,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7218016677401605
rice,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.880383962547779
rice,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.819299045740002
rice,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.8343490461604679
rice,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.9273163349483746
rice,as7262,raw,50,12.5 mA,Poly,ARD,K Fold,0.8279926033275494
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.909492057035763
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9253824726367326
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8627394076200332
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.9343985555676361
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8919116119479915
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8742937459929239
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7896710737335264
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.6535720151034636
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9210476411644095
rice,as7262,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8716979124198103
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8683329536763005
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9169818873690462
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.885964618337974
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8794677456545344
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8494233501649817
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8657781132881023
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8086106011948951
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.5644078432047517
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9274285805102742
rice,as7262,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.83478573711948
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.846097239917546
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8716624980054786
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.8756824334669457
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.895322636273344
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.2550461067653298
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.8823699946043537
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.816730060385049
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.2815274810841224
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.8812178483727668
rice,as7262,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.7176665371912292
rice,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.857597163913314
rice,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8361492832530324
rice,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.809735602892937
rice,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8739955895755727
rice,as7262,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8829174572842644
