Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
rice,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9231767808516664
rice,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.909752146107111
rice,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.6240408234252841
rice,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8936280791190397
rice,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.9226683366339812
rice,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8467840565837741
rice,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8948354555177711
rice,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8981175858523823
rice,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.955022241866269
rice,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.9147702821245436
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8846220997780324
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7988212946211213
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.5530270465385013
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8874283307514148
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.8067353451738652
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,-3.1194644748311955
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8760010661368197
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,-2.4111954314514557
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.9048624177204919
rice,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8990613751566955
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.901490419930023
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.9118460939688565
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8229619944109582
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8943396348753433
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8548197240514643
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8173229348929958
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.893171135225919
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8467648323777915
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9608826675768486
rice,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.9371191629289543
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.4589335413501079
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.6937775614766561
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.8631468424043316
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-1.7511594082729598
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-24.87807473320964
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-0.9227012593016748
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.5016880099094703
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-0.3786718467896495
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.5642533705480384
rice,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-1.414405927799618
rice,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8962231993693698
rice,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8049906123020705
rice,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8660548257425399
rice,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8134457110538477
rice,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8658525495717775
rice,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.8507939053984687
rice,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.8912243684811897
rice,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.8543748080129132
rice,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.956658605357431
rice,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.9151366620998566
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.9084795150381816
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.9008988860159348
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.917408544213903
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.6887740274488087
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8414179802430428
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.6692889415659486
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8581521270914988
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9194989130640914
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9449390725898991
rice,as7265x,raw,50,12.5 mA,No Poly,ARD,K Fold,0.9141689910580548
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.8755589282581918
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9352256872995564
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.8927604921946218
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9254546702792503
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9099047995939914
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.5865734784893184
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.8697160641121738
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.9231917354777884
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.9543070335485909
rice,as7265x,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.946662699416646
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.9183233416028511
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.9495217981178614
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.826819459966153
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.9239955290719781
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.923428782852235
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.6418974055715754
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.8642411889637549
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.9323786980868898
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.939813752221716
rice,as7265x,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.9187103712298785
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.9390619691899732
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.5979845336220133
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.922299787766437
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.8934639498460182
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,Shuffle,0.8785056220812175
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.6202738632793674
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.8647757759320158
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.9192456200001369
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.9470079603272901
rice,as7265x,raw,50,12.5 mA,No Poly,Linear Regression,K Fold,0.93502112531726
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.6001446544934251
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.9222584515729683
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.888655820360929
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.785592905177186
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,Shuffle,0.8930927065756925
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,K Fold,0.6202738632793693
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,K Fold,0.8647757759320157
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,K Fold,0.9192456200001373
rice,as7265x,raw,50,12.5 mA,No Poly,PLS,K Fold,0.9470079603272902
