Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8461707019443839
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.4932589217726767
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8017028903580906
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7446843697722825
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,Shuffle,0.5392503314085333
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.7185427054366476
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.8551772638086478
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.8621222691555019
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.7444616238685895
sugarcane,as7263,raw,50,12.5 mA,Poly,ARD,K Fold,0.7356722613845449
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.5877175379721731
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7087311509836556
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,-1.1919097288461624
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7761475272446975
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.5891472963636988
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.8120222171957119
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7030881732769754
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.6385117357442424
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.726506517194448
sugarcane,as7263,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7861215927535332
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.5183082474310106
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8240339663890504
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8459373484431203
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.7686345366965909
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.7371016858317592
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8798260030041531
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8559647423039337
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8695781964098084
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.6664435218231574
sugarcane,as7263,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.7430588454574218
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-7.097415774544515
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.9930734131698822
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.6628774805464623
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,0.6894161519846188
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-1.3251977337016476
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.31431442082945593
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.11071853550150668
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-1.9518143837580166
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-0.6467611505279582
sugarcane,as7263,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.8024189871393415
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.7104704368730881
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8171978389393402
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.7953001010763028
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.8494849009615382
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,Shuffle,0.854059307960867
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.8555703524519971
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.853682171443104
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.8554599805611051
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.7387595415096593
sugarcane,as7263,raw,50,12.5 mA,Poly,PLS,K Fold,0.7090468839945203
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.78651891716495
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8527623158367081
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8444223321935912
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.7626386333939832
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.8539076637896222
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8777906370555576
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8566109665928423
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,K Fold,0.8664490224503106
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,K Fold,0.7373935789333104
sugarcane,as7263,raw,50,12.5 mA,No Poly,ARD,K Fold,0.7302658837916691
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.8476036788714126
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.854976171038255
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.9041880456898292
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.8074316295887402
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,Shuffle,0.8605335007451611
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.8756933065121945
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.8478146790634118
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.8626437957382402
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.7240343338246702
sugarcane,as7263,raw,50,12.5 mA,No Poly,Huber Regression,K Fold,0.7246282915624813
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.6815486180485396
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.8741105640063085
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.7360070220620025
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.8123873716175922
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,Shuffle,0.8187181880630903
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.8790296935643882
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.8577390814150678
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.8677537302453184
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.721799675503313
sugarcane,as7263,raw,50,12.5 mA,No Poly,Lasso IC,K Fold,0.7369534558189867
