Leaf,Sensor,Measurement Type,Integration Time,LED Current,Preprocess,Regression Model,Cross Validation,Score
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8716137472810583
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8407052876458398
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.7682913963838105
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.46227033157748254
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,Shuffle,0.8112890552384064
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.7056085942361785
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8005479049966284
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.8340123050731995
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.47656586577239013
sugarcane,as7265x,raw,50,12.5 mA,Poly,ARD,K Fold,0.6752841162436289
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.7848859674063178
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,-0.20833466916997723
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.38479696392809093
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.19861533372814733
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,Shuffle,0.6375285812008216
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.21244135623691085
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.7705840583925458
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.31670811351785366
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.42915217496402736
sugarcane,as7265x,raw,50,12.5 mA,Poly,Huber Regression,K Fold,0.3897291508049696
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8234471711827245
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8189113816508431
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.6863114748285724
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.8498530467859546
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,Shuffle,0.4940097864220411
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.8424054102910027
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.7769132626448444
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.84186701590772
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.5413419601540983
sugarcane,as7265x,raw,50,12.5 mA,Poly,Lasso IC,K Fold,0.5065144313356822
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-1.813832345791706
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-1.2278767589560982
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-0.90556717026209
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-3.2883175632392856
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,Shuffle,-5.4107987155259485
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-4.107008161238782
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,0.10176012475435359
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-1.1222832231480604
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-1.575163154873112
sugarcane,as7265x,raw,50,12.5 mA,Poly,Linear Regression,K Fold,-2.5983650134138974
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.5454748319454183
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.7263252050868675
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.787696998067297
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.7604535243446042
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,Shuffle,0.783519389826846
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.8710270867414418
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.7154961563500342
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.8211146003319355
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.4709190719229044
sugarcane,as7265x,raw,50,12.5 mA,Poly,PLS,K Fold,0.6320340754823721
sugarcane,as7265x,raw,50,12.5 mA,No Poly,ARD,Shuffle,0.6816969200700004
