Leaf No.,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,,,A664,,,Average,,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2)
1,A,4.8,5.37,0.068,0.0686,0.0683,0.189,0.1892,0.1893,0.0683,0.1892,8.7474,2.1173,10.8647,9.4676,2.2516,11.7192,0.7898,0.1803,0.9669,2.263478611,1.822374722,0.441103889,38.42646012,30.93795949,7.488500625
,B,5.2,,0.0721,0.0721,0.0719,0.2022,0.2017,0.2016,0.072,0.2018,9.3432,2.1809,11.5241,,,,,,,2.216171026,1.796764359,0.419406667,40.75860979,33.04511094,7.713498856
,C,6.1,,0.08,0.0803,0.0799,0.2233,0.2229,0.2225,0.0801,0.2229,10.3122,2.4564,12.7687,,,,,,,2.093224481,1.690528962,0.402695519,45.16046309,36.47247176,8.687991323
2,A,3.9,4.13,0.0878,0.088,0.0877,0.2358,0.2355,0.2349,0.0878,0.2354,10.8513,2.8991,13.7504,11.2403,3.0221,14.2624,0.3456,0.238,0.53,3.525741197,2.782394188,0.743347009,48.63263304,38.37920822,10.25342482
,B,4.6,,0.0902,0.0899,0.0901,0.2463,0.2457,0.2458,0.0901,0.2459,11.3572,2.8709,14.2281,,,,,,,3.093062609,2.468954783,0.624107826,50.3221617,40.16832426,10.15383745
,C,3.9,,0.095,0.0959,0.0962,0.2499,0.2504,0.2507,0.0957,0.2503,11.5123,3.2965,14.8087,,,,,,,3.797113504,2.951867009,0.845246496,52.37583174,40.71684704,11.6589847
3,A,4,3.83,0.0763,0.0768,0.0778,0.2029,0.2033,0.2039,0.077,0.2034,9.3617,2.6056,11.9673,9.9127,2.8937,12.8065,0.4898,0.2497,0.7361,2.991815667,2.340424333,0.651391333,42.32603334,33.11062224,9.215411096
,B,3.1,,0.0857,0.0855,0.0851,0.2198,0.2196,0.2192,0.0854,0.2195,10.0778,3.0312,13.109,,,,,,,4.228707527,3.250910538,0.977796989,46.36412723,35.64342741,10.72069982
,C,4.4,,0.0864,0.0868,0.0869,0.2241,0.2242,0.2243,0.0867,0.2242,10.2986,3.0445,13.3431,,,,,,,3.032524545,2.340595455,0.691929091,47.19214826,36.42434746,10.76780081
4,A,4.5,4.7,0.0583,0.0598,0.0603,0.1625,0.1637,0.1637,0.0595,0.1633,7.5452,1.8749,9.4201,7.8142,1.901,9.7151,0.2935,0.109,0.3829,2.093352296,1.676717037,0.416635259,33.31712999,26.68609559,6.631034401
,B,4.8,,0.0646,0.0641,0.0635,0.1766,0.1758,0.1753,0.0641,0.1759,8.1273,2.0206,10.1479,,,,,,,2.114139444,1.693180556,0.420958889,35.89116974,28.7446653,7.146504445
,C,4.8,,0.0603,0.0599,0.0593,0.1684,0.1679,0.1672,0.0598,0.1678,7.77,1.8074,9.5775,,,,,,,1.995306944,1.618759722,0.376547222,33.87378275,27.48124307,6.392539671
5,A,5.5,6.03,0.1036,0.1037,0.1039,0.2584,0.2581,0.2583,0.1037,0.2583,11.8173,3.8662,15.6835,11.6275,3.4141,15.0416,0.4569,0.7294,1.1808,2.851543273,2.148602182,0.702941091,55.46964703,41.79568508,13.67396194
,B,6.4,,0.1036,0.1039,0.1037,0.2612,0.2613,0.2607,0.1037,0.2611,11.9589,3.8035,15.7623,,,,,,,2.462865,1.868575,0.59429,55.74851807,42.29638537,13.4521327
