,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,A,2.228755294,1.770391373,0.458363922,40.20178256,31.93391809,8.267864469,40.006463733333334,31.762765950000002,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,B,2.175888718,1.731508205,0.444380513,40.01775954,31.84495532,8.172804225,40.006463733333334,31.762765950000002,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
2,1,C,2.250601867,1.781794933,0.468806933,39.7998491,31.50942444,8.290424654,40.006463733333334,31.762765950000002,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
3,2,A,2.032375802,1.667203457,0.365172346,38.81597699,31.84161656,6.974360425,39.666144790000004,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
4,2,B,2.174918545,1.711882909,0.463035636,42.30760416,33.3004032,9.007200962,39.666144790000004,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
5,2,C,1.947042909,1.601582545,0.345460364,37.87485322,31.15478532,6.720067907,39.666144790000004,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
6,3,A,2.825216667,2.237682157,0.58753451,67.94749004,53.81707104,14.130419,68.76208295,53.951703565,14.810379385000001,3.169046667,2.4842313165,0.68481535
7,3,B,3.512876667,2.730780476,0.78209619,69.57667586,54.08633609,15.49033977,68.76208295,53.951703565,14.810379385000001,3.169046667,2.4842313165,0.68481535
9,4,A,2.349281697,2.101324848,0.247956848,45.69940346,40.87602273,4.823380727,47.9094213,40.38661510666666,7.522806188666666,2.460385592,2.0767829386666667,0.383602653
10,4,B,2.309102222,2.115431111,0.193671111,44.10112471,40.40223527,3.698889439,47.9094213,40.38661510666666,7.522806188666666,2.460385592,2.0767829386666667,0.383602653
11,4,C,2.722772857,2.013592857,0.70918,53.92773573,39.88158732,14.0461484,47.9094213,40.38661510666666,7.522806188666666,2.460385592,2.0767829386666667,0.383602653
12,5,A,3.323326667,2.485710575,0.837616092,68.1732145,50.99073825,17.18247624,68.21059002,50.84116542,17.369424596666665,3.4934260746666665,2.603808757,0.8896173176666666
13,5,B,3.741591795,2.791589744,0.950002051,68.8133173,51.34139728,17.47192002,68.21059002,50.84116542,17.369424596666665,3.4934260746666665,2.603808757,0.8896173176666666
14,5,C,3.415359762,2.534125952,0.88123381,67.64523826,50.19136073,17.45387753,68.21059002,50.84116542,17.369424596666665,3.4934260746666665,2.603808757,0.8896173176666666
15,6,A,3.163964381,2.37476019,0.78920419,78.33256938,58.79366674,19.53890264,81.34927259666667,60.72458560333333,20.624686989999997,3.3983087493333333,2.536473219,0.8618355299999999
16,6,B,3.112372089,2.317686578,0.794685511,82.5592087,61.47927189,21.07993681,81.34927259666667,60.72458560333333,20.624686989999997,3.3983087493333333,2.536473219,0.8618355299999999
17,6,C,3.918589778,2.916972889,1.001616889,83.15603971,61.90081818,21.25522152,81.34927259666667,60.72458560333333,20.624686989999997,3.3983087493333333,2.536473219,0.8618355299999999
