,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,A,2.119739798,1.673598384,0.446141414,24.74054373,19.53340407,5.207139657,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,B,2.096388387,1.749887742,0.346500645,22.98508877,19.18600835,3.799080427,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
2,1,C,2.249251613,1.839708387,0.409543226,24.66110207,20.17081418,4.490287897,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
3,2,A,0.826112381,0.710573333,0.115539048,8.181066233,7.036872509,1.144193723,8.262535663,7.0098040600000004,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.13528937166666666
4,2,B,0.887001538,0.754401538,0.1326,8.156624461,6.937270991,1.21935347,8.262535663,7.0098040600000004,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.13528937166666666
5,2,C,0.955651733,0.797922667,0.157729067,8.449916295,7.05526868,1.394647615,8.262535663,7.0098040600000004,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.13528937166666666
6,3,A,0.716477333,0.617752,0.098725333,7.602150386,6.554629695,1.04752069,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.11591491866666666
7,3,B,0.841191905,0.690762381,0.150429524,8.330400132,6.840682842,1.48971729,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.11591491866666666
8,3,C,0.706245253,0.607655354,0.098589899,8.24294169,7.092249652,1.150692037,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.11591491866666666
9,4,A,0.346606437,0.31992046,0.026685977,3.555063545,3.281351536,0.273712009,4.119555461333333,3.7872234403333334,0.332332021,0.417294756,0.383583945,0.03371081066666667
10,4,B,0.448805238,0.41384619,0.034959048,4.444559195,4.098356558,0.346202636,4.119555461333333,3.7872234403333334,0.332332021,0.417294756,0.383583945,0.03371081066666667
11,4,C,0.456472593,0.416985185,0.039487407,4.359043644,3.981962227,0.377081418,4.119555461333333,3.7872234403333334,0.332332021,0.417294756,0.383583945,0.03371081066666667
