Leaf No.,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
2,8.262535663,7.0098040600000004,1.2527316026666666,0.8895885506666666,0.7542991793333332,0.13528937166666666
3,8.058497402666667,6.8291873963333325,1.2293100056666668,0.7546381636666667,0.638723245,0.11591491866666666
4,4.119555461333333,3.7872234403333334,0.332332021,0.417294756,0.383583945,0.03371081066666667
5,22.37215188,18.450766703333333,3.921385175333333,2.0470482353333335,1.6880857786666665,0.3589624566666667
6,6.642405665333334,5.945800224666667,0.6966054406666666,0.7518668403333333,0.6729733923333333,0.07889344866666666
7,6.802617245333333,6.0167739503333335,0.7858432956666667,0.6873532676666668,0.6083133003333333,0.079039967
8,3.1912899953333334,2.950135578,0.24115441733333332,0.39448288499999995,0.364212291,0.030270594
9,6.970479356666666,6.045766428333333,0.9247129283333333,0.6367286193333334,0.5523267339999999,0.08440188566666666
10,21.4643025,17.7246249,3.739677599,2.176717850333333,1.7971427210000002,0.37957512933333337
11,12.318115579999999,10.589299946666667,1.7288156373333334,1.167927301,1.0037902216666668,0.16413707933333332
12,17.773013289999998,14.70633405,3.0666792416666664,2.095760188,1.7341241639999998,0.36163602366666664
13,8.341274355000001,7.148699472666666,1.1925748823333333,0.8527596856666667,0.7308231853333332,0.12193650066666667
14,20.26094802333333,16.876511596666667,3.384436427666667,1.9998540953333332,1.6657139046666665,0.33414019033333336
15,4.5715718406666666,4.109723106333334,0.46184873433333334,0.4506378813333334,0.404652748,0.04598513333333334
16,7.952168069666667,6.941628350999999,1.0105397186666665,0.9117851996666667,0.796262664,0.11552253566666666
17,32.240294580000004,26.13324059,6.107053987333333,2.2499515666666667,1.8233960056666667,0.42655556066666667
18,21.790697383333335,17.846340180000002,3.9443572026666662,2.183246786,1.786886547,0.396360239
19,42.332490783333334,34.08798503333333,8.244505749333333,2.920105967,2.3514395473333334,0.5686664203333334
20,46.77751998333334,37.38856900333334,9.388950979666667,3.034177937666666,2.4251721756666664,0.6090057619999999
21,40.39720041333334,32.52003332666666,7.8771670873333335,2.8494563139999998,2.293190763666667,0.5562655503333334
22,9.834843474333333,8.371776504333333,1.4630669713333333,0.8702122626666666,0.7404787623333334,0.12973350033333333
23,28.048259490000003,22.75448508,5.2937744140000005,2.626493391,2.1305919309999997,0.4959014606666667
24,31.58517208666667,25.31606580333333,6.269106285333333,1.9300336463333334,1.546974847666667,0.383058799
25,35.80126854,28.92993799,6.871330551,2.7862744310000003,2.251448732,0.5348256993333333
26,20.747571776666664,16.864934413333334,3.8826373659999995,1.8343721616666666,1.4909973736666666,0.343374788
27,29.14193016,24.117611,5.024319162333334,2.4237723973333334,2.005738045333333,0.41803435233333336
28,35.285204310000005,28.85770201,6.427502299,2.418592552,1.9779060929999999,0.440686459
29,41.190247813333336,33.20720567666667,7.983042135333332,2.3147020973333334,1.8660459996666667,0.448656098
30,25.071830419999998,20.50585461333333,4.565975808,2.362691151,1.932354299,0.4303368523333333
31,31.280128583333333,25.350311633333334,5.92981695,2.8969486156666666,2.3478389456666666,0.5491096693333334
32,38.291608309999994,31.21586852333333,7.075739784333334,2.806308711666667,2.2877869273333333,0.5185217839999999
33,45.794416543333334,36.16824409,9.626172455333332,3.6315873736666666,2.8680551076666667,0.763532266
34,34.359721140000005,27.641778466666665,6.717942672,2.9290880213333335,2.3554742646666664,0.5736137563333333
35,22.909492036666666,18.77788152333333,4.131610510000001,2.183849364,1.7898875863333334,0.3939617776666666
36,21.750201599999997,16.820244746666663,4.929956850666667,2.302413336666667,1.781709302,0.5207040343333333
37,22.081816823333337,18.2699787,3.8118381236666665,1.8936375920000001,1.5667596246666669,0.32687796733333335
38,35.05737190666667,28.454830116666667,6.602541793666667,2.1382764206666667,1.735757594,0.40251882666666666
39,24.76033576,20.28088467666667,4.479451085666667,2.143342263333333,1.755555384,0.38778687900000003
40,27.871352556666665,22.597818176666664,5.273534381666667,2.957234201,2.3975923143333335,0.5596418866666667
41,23.94511801333333,19.603433073333335,4.34168494,1.6803023856666668,1.3756862246666668,0.30461616033333333
42,20.154670566666667,16.376153983333335,3.77851658,1.6147121093333334,1.31199333,0.30271877966666666
43,31.150176446666666,25.197469209999998,5.9527072379999995,2.7316973683333337,2.209128585666667,0.5225687826666667
44,24.007469760000003,19.579184646666665,4.428285114666667,1.755736461,1.4319865079999998,0.3237499533333334
45,26.892431993333332,21.88646027333333,5.005971721000001,2.17340985,1.7686158206666667,0.40479402999999997
46,16.193003386666668,13.163380573333333,3.029622818,1.4457491976666665,1.1751523076666668,0.270596891
47,22.50631833,18.34497025,4.1613480780000005,1.9514537323333334,1.5904293166666665,0.36102441566666665
48,18.682692383333332,15.212891309999998,3.469801073333333,1.7420231016666667,1.4185483106666668,0.323474791
49,30.344592993333332,24.419689860000002,5.924903130666666,1.8960071989999998,1.5254402133333336,0.3705669856666667
50,18.61879543666667,15.265319533333333,3.3534759063333333,1.6119429413333333,1.3216472546666667,0.290295686
51,8.200334818,6.836217019,1.3641177996666667,0.714189334,0.5968539110000001,0.117335423
52,26.54998939,21.556398105,4.9935912855,1.8777225185,1.5243221595,0.3534003585
53,32.63734251333333,26.42514599,6.212196521333333,2.0979592093333337,1.6986574023333334,0.39930180733333337
54,35.641913653333326,28.643823536666662,6.998090118,2.314729379,1.8603096286666665,0.45441975033333337
55,30.055573629999998,24.14840175,5.907171881666667,2.222770464,1.7860449796666666,0.43672548399999994
56,9.583878396333333,7.896416810000001,1.6874615863333335,0.8741423393333334,0.7201794786666668,0.15396286066666665
57,24.438576469999997,20.074630006666666,4.363946460666667,2.017985647333333,1.6568969733333334,0.3610886743333333
58,2.725630929,2.5350420093333335,0.19058891966666666,0.1997687426666667,0.18573216933333334,0.014036573333333335
59,14.29965182,11.819307883333332,2.480343936,1.117823199,0.9235004836666666,0.19432271533333334
60,30.57870521,25.12480567333333,5.453899538666666,2.5000558519999996,2.054086933333333,0.44596891866666666
61,16.564180676666666,13.594561156666666,2.969619517,1.3957702779999999,1.145526904,0.2502433743333333
62,12.429251843333333,10.349291457,2.079960387333333,1.1251328889999999,0.936631111,0.18850177766666668
63,23.69654728,19.33047873,4.366068551333334,1.7648840513333333,1.4398277146666667,0.32505633666666667
64,32.222201786666666,25.518818233333334,6.703383556333333,2.1199412233333335,1.6788668816666668,0.44107434166666665
65,44.22934772999999,34.831650593333336,9.397697138333333,4.139644079333333,3.258332172333333,0.8813119073333334
66,46.43683478,37.296913535,9.139921247,3.653488999,2.9343304915,0.7191585075
67,38.5316278,31.07725668666667,7.454371114333334,2.558221283,2.063333626,0.4948876563333333
68,41.83511982,33.479756040000005,8.355363781000001,3.4825955,2.7870240326666664,0.695571467
69,47.82949863666666,38.385870016666665,9.443628618333333,4.022509349333333,3.2282317933333338,0.7942775563333333
70,55.10028373333333,43.707893393333336,11.392390339999999,3.6235348960000002,2.874451678,0.7490832176666666
71,51.70545849,41.370469925,10.334988565,3.7016686795,2.9619183975,0.7397502819999999
72,62.56345445333333,49.77774005333333,12.785714399999998,3.875767008,3.083540941666667,0.7922260663333334
73,54.4024687,42.656200045000006,11.746268655,4.102862167,3.2170044620000002,0.8858577055
74,51.221634323333326,40.798945243333335,10.422689083333333,3.954586471666667,3.149968694,0.804617778
75,49.08002853,44.060547265,5.019481267,3.5238579215,3.1534905975000003,0.370367324
76,42.138644846666665,34.346644346666665,7.792000502666667,3.7334734143333335,3.0419350706666664,0.6915383433333334
77,51.67352338,41.83316121,9.840362170333334,3.7159366656666664,3.0089510139999995,0.7069856519999999
78,56.69399447999999,45.448789229999996,11.245205253333333,4.333457171,3.4737740433333335,0.8596831276666667
