Leaf No.,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,,,A664,,,Average,,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2)
1,A,5.3,5.33,0.0778,0.0771,0.0764,0.1886,0.1878,0.1866,0.0771,0.1877,8.5663,2.9697,11.536,8.5289,2.4325,10.9614,0.3489,0.4731,0.6598,2.176596478,1.616285031,0.560311447,40.8005989,30.29748414,10.50311476
,B,5.3,,0.0648,0.065,0.0649,0.1771,0.1768,0.1765,0.0649,0.1768,8.1628,2.078,10.2408,,,,,,,1.932222642,1.540151698,0.392070943,36.21977789,28.87035439,7.349423499
,C,5.4,,0.0705,0.0705,0.0701,0.1921,0.1922,0.1912,0.0704,0.1918,8.8575,2.2498,11.1074,,,,,,,2.056917778,1.640279259,0.416638519,39.28469972,31.32739619,7.95730353
2,A,5.6,5.77,0.1268,0.1283,0.1296,0.3506,0.3516,0.3527,0.1282,0.3516,16.2449,4.0542,20.2992,16.1789,4.0113,20.1902,0.472,0.1256,0.596,3.62484881,2.900876905,0.723971905,71.79441654,57.45529697,14.33911957
,B,5.9,,0.1232,0.1232,0.1234,0.3397,0.3392,0.3388,0.1233,0.3392,15.6774,3.8699,19.5473,,,,,,,3.313096949,2.657181017,0.655915932,69.1351489,55.4480017,13.6871472
,C,5.8,,0.1307,0.1307,0.1308,0.3598,0.3596,0.3592,0.1307,0.3595,16.6144,4.1099,20.7243,,,,,,,3.573158161,2.864557701,0.70860046,73.29814435,58.76223621,14.53590814
3,A,5.5,5.77,0.1099,0.1101,0.11,0.3067,0.3064,0.3058,0.11,0.3063,14.1709,3.3733,17.5442,14.5551,3.5004,18.0555,0.3532,0.1103,0.4566,3.189856,2.576532364,0.613323636,62.05067553,50.11999717,11.93067836
,B,5.8,,0.1161,0.1152,0.1155,0.3224,0.3208,0.3209,0.1156,0.3214,14.8657,3.5568,18.4225,,,,,,,3.176298851,2.563055632,0.613243218,65.15715263,52.57735965,12.57979298
,C,6,,0.1148,0.1145,0.1144,0.3171,0.3164,0.3158,0.1146,0.3164,14.6287,3.5712,18.1998,,,,,,,3.033304667,2.438108667,0.595196,64.36948433,51.73888378,12.63060055
4,A,6.4,6.43,0.1158,0.1161,0.1162,0.3137,0.3137,0.3129,0.116,0.3134,14.4594,3.7748,18.2343,13.2867,3.3487,16.6354,1.0216,0.4041,1.4116,2.849103958,2.259286042,0.589817917,64.49128292,51.14037868,13.35090425
