,Leaf number,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,Unnamed: 5,Unnamed: 6,A664,Unnamed: 8,Unnamed: 9,Average,Unnamed: 11,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),STD Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),STD Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg),STD Chlorophyll b (µg/mg),Avg Total Chlorophyll (µg/cm2),STD Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),STD Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),STD Chlorophyll b (µg/cm2)
0,1,A,5.1,5.1,0.0725,0.0723,0.0719,0.1981,0.1949,0.194,0.072233333,0.195666667,9.028996,2.337656,11.366652,8.980604444,2.330823111,11.31142756,0.063295271,0.017649551,0.056888611,2.228755294,1.770391373,0.458363922,40.20178256,31.93391809,8.267864469,2.218415293,0.038414846,1.761231504,0.026365056,0.457183789,0.012255898,40.00646373,0.20120468,31.76276595,0.223863872,8.243697783,0.062423256
1,1,B,5.2,,0.0719,0.0718,0.0717,0.197,0.1948,0.1934,0.0718,0.195066667,9.003842667,2.310778667,11.31462133,,,,,,,2.175888718,1.731508205,0.444380513,40.01775954,31.84495532,8.172804225,2.218415293,0.038414846,1.761231504,0.026365056,0.457183789,0.012255898,40.00646373,0.20120468,31.76276595,0.223863872,8.243697783,0.062423256
2,1,C,5,,0.0717,0.0714,0.072,0.1955,0.1924,0.1916,0.0717,0.193166667,8.908974667,2.344034667,11.25300933,,,,,,,2.250601867,1.781794933,0.468806933,39.7998491,31.50942444,8.290424654,2.218415293,0.038414846,1.761231504,0.026365056,0.457183789,0.012255898,40.00646373,0.20120468,31.76276595,0.223863872,8.243697783,0.062423256
3,2,A,5.4,5.466666667,0.068,0.0679,0.0679,0.1963,0.1935,0.1926,0.067933333,0.194133333,9.002898667,1.971930667,10.97482933,9.075652889,2.139552889,11.21520578,0.309800815,0.354424166,0.660330126,2.032375802,1.667203457,0.365172346,38.81597699,31.84161656,6.974360425,2.051445752,0.115128509,1.66022297,0.055480519,0.391222782,0.06296789,39.66614479,2.335467659,32.09893502,1.095709185,7.567209765,1.253533868
4,2,B,5.5,,0.0825,0.0763,0.0709,0.2122,0.2038,0.197,0.076566667,0.204333333,9.415356,2.546696,11.962052,,,,,,,2.174918545,1.711882909,0.463035636,42.30760416,33.3004032,9.007200962,2.051445752,0.115128509,1.66022297,0.055480519,0.391222782,0.06296789,39.66614479,2.335467659,32.09893502,1.095709185,7.567209765,1.253533868
5,2,C,5.5,,0.0667,0.0658,0.0659,0.1925,0.1889,0.1882,0.066133333,0.189866667,8.808704,1.900032,10.708736,,,,,,,1.947042909,1.601582545,0.345460364,37.87485322,31.15478532,6.720067907,2.051445752,0.115128509,1.66022297,0.055480519,0.391222782,0.06296789,39.66614479,2.335467659,32.09893502,1.095709185,7.567209765,1.253533868
6,3,A,6.8,6.033333333,0.1249,0.1216,0.1206,0.3355,0.3284,0.3258,0.122366667,0.3299,15.21623867,3.995234667,19.21147333,14.65641644,3.915689778,18.57210622,1.036272165,0.508509074,1.523844795,2.825216667,2.237682157,0.58753451,67.94749004,53.81707104,14.130419,3.097068304,0.365734498,2.443326141,0.256527169,0.653742163,0.111176395,65.68616475,5.389562123,51.83708157,3.665106333,13.84908318,1.798504186
7,3,B,5.6,,0.1435,0.1214,0.1165,0.3521,0.3264,0.3191,0.127133333,0.332533333,15.29237067,4.379738667,19.67210933,,,,,,,3.512876667,2.730780476,0.78209619,69.57667586,54.08633609,15.49033977,3.097068304,0.365734498,2.443326141,0.256527169,0.653742163,0.111176395,65.68616475,5.389562123,51.83708157,3.665106333,13.84908318,1.798504186
8,3,C,5.7,,0.1074,0.1051,0.1067,0.2955,0.2892,0.2895,0.1064,0.2914,13.46064,3.372096,16.832736,,,,,,,2.953111579,2.361515789,0.591595789,59.53432836,47.60783759,11.92649077,3.097068304,0.365734498,2.443326141,0.256527169,0.653742163,0.111176395,65.68616475,5.389562123,51.83708157,3.665106333,13.84908318,1.798504186
9,4,A,5.5,5.5,0.1033,0.017,0.1014,0.2499,0.2453,0.243,0.0739,0.246066667,11.55728667,1.363762667,12.92104933,11.41891156,2.126998222,13.54590978,0.140635352,1.605196817,1.490865933,2.349281697,2.101324848,0.247956848,45.69940346,40.87602273,4.823380727,2.460385592,0.228120374,2.076782939,0.055176866,0.383602653,0.283261702,47.9094213,5.272921883,40.38661511,0.497401685,7.52280619,5.677289441
10,4,B,5.4,,0.0993,0.0093,0.1002,0.2444,0.2416,0.2412,0.0696,0.2424,11.423328,1.045824,12.469152,,,,,,,2.309102222,2.115431111,0.193671111,44.10112471,40.40223527,3.698889439,2.460385592,0.228120374,2.076782939,0.055176866,0.383602653,0.283261702,47.9094213,5.272921883,40.38661511,0.497401685,7.52280619,5.677289441
11,4,C,5.6,,0.1027,0.1027,0.1012,0.2499,0.2469,0.2448,0.1022,0.2472,11.27612,3.971408,15.247528,,,,,,,2.722772857,2.013592857,0.70918,53.92773573,39.88158732,14.0461484,2.460385592,0.228120374,2.076782939,0.055176866,0.383602653,0.283261702,47.9094213,5.272921883,40.38661511,0.497401685,7.52280619,5.677289441
12,5,A,5.8,5.533333333,0.1289,0.1274,0.1282,0.3186,0.3143,0.3135,0.128166667,0.315466667,14.41712133,4.858173333,19.27529467,14.37483111,4.911031111,19.28586222,0.166654794,0.045847185,0.16538474,3.323326667,2.485710575,0.837616092,68.1732145,50.99073825,17.18247624,3.493426074,0.21978897,2.603808757,0.164414982,0.889617318,0.056660069,68.21059002,0.584935771,50.84116542,0.589427721,17.3694246,0.162153163
