Leaf No.,Spot,Leaf weight (mg),Mean leaf weight (mg),A1,A2,A3,A1,A2,A3,A647,A664,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2)
1,A,3.3,3.17,0.0491,0.0432,0.0417,0.1244,0.1182,0.1168,0.0447,0.1198,5.5229,1.4723,6.9951,5.5502,1.272,6.8222,0.1412,0.1991,0.2803,2.119739798,1.673598384,0.446141414,24.74054373,19.53340407,5.207139657
,B,3.1,,0.0387,0.0397,0.0405,0.1166,0.1164,0.117,0.0396,0.1167,5.4247,1.0742,6.4988,,,,,,,2.096388387,1.749887742,0.346500645,22.98508877,19.18600835,3.799080427
,C,3.1,,0.0438,0.043,0.043,0.1245,0.1226,0.122,0.0433,0.123,5.7031,1.2696,6.9727,,,,,,,2.249251613,1.839708387,0.409543226,24.66110207,20.17081418,4.490287897
2,A,2.8,2.63,0.0144,0.013,0.0138,0.0429,0.042,0.0429,0.0137,0.0426,1.9896,0.3235,2.3131,1.982,0.3542,2.3361,0.0179,0.0363,0.046,0.826112381,0.710573333,0.115539048,8.181066233,7.036872509,1.144193723
,B,2.6,,0.0138,0.0137,0.014,0.0422,0.0419,0.0421,0.0138,0.0421,1.9614,0.3448,2.3062,,,,,,,0.887001538,0.754401538,0.1326,8.156624461,6.937270991,1.21935347
,C,2.5,,0.0141,0.0141,0.0155,0.043,0.0422,0.0435,0.0146,0.0429,1.9948,0.3943,2.3891,,,,,,,0.955651733,0.797922667,0.157729067,8.449916295,7.05526868,1.394647615
3,A,3,3.03,0.013,0.0127,0.0125,0.0403,0.0394,0.0393,0.0127,0.0397,1.8533,0.2962,2.1494,1.9309,0.3476,2.2785,0.0761,0.0654,0.1124,0.716477333,0.617752,0.098725333,7.602150386,6.554629695,1.04752069
,B,2.8,,0.0147,0.0147,0.0143,0.0421,0.0418,0.0412,0.0146,0.0417,1.9341,0.4212,2.3553,,,,,,,0.841191905,0.690762381,0.150429524,8.330400132,6.840682842,1.48971729
,C,3.3,,0.0141,0.0138,0.0136,0.0432,0.0431,0.0425,0.0138,0.0429,2.0053,0.3253,2.3306,,,,,,,0.706245253,0.607655354,0.098589899,8.24294169,7.092249652,1.150692037
4,A,2.9,2.8,0.0051,0.0059,0.0057,0.0194,0.0198,0.0198,0.0056,0.0197,0.9278,0.0774,1.0052,1.0708,0.094,1.1648,0.125,0.015,0.1387,0.346606437,0.31992046,0.026685977,3.555063545,3.281351536,0.273712009
,B,2.8,,0.007,0.0071,0.0068,0.0248,0.0245,0.0244,0.007,0.0246,1.1588,0.0979,1.2567,,,,,,,0.448805238,0.41384619,0.034959048,4.444559195,4.098356558,0.346202636
,C,2.7,,0.0065,0.0067,0.0075,0.0234,0.0236,0.0247,0.0069,0.0239,1.1259,0.1066,1.2325,,,,,,,0.456472593,0.416985185,0.039487407,4.359043644,3.981962227,0.377081418
5,A,3.1,3.1,0.0374,0.0365,0.0375,0.1085,0.1065,0.1069,0.0371,0.1073,4.981,1.0514,6.0323,5.2168,1.1087,6.3255,0.2069,0.0537,0.2595,1.945915699,1.606765591,0.339150108,21.33528566,17.61679753,3.718488128
,B,3.3,,0.04,0.0394,0.0391,0.1153,0.1137,0.1136,0.0395,0.1142,5.3015,1.117,6.4185,,,,,,,1.945009697,1.606524848,0.338484848,22.7011813,18.75055528,3.950626017
,C,2.9,,0.0393,0.0405,0.0411,0.1158,0.1155,0.1158,0.0403,0.1157,5.3678,1.1578,6.5256,,,,,,,2.25021931,1.850966897,0.399252414,23.07998868,18.9849473,4.095041381
6,A,2.6,2.5,0.0108,0.0112,0.0094,0.0362,0.0359,0.0349,0.0105,0.0357,1.6781,0.1749,1.853,1.6811,0.197,1.8781,0.0388,0.0329,0.0689,0.71269641,0.645432821,0.06726359,6.553761996,5.935224352,0.618537644
,B,2.5,,0.011,0.0118,0.0113,0.0365,0.037,0.0367,0.0114,0.0367,1.7213,0.2347,1.956,,,,,,,0.782408,0.6885168,0.0938912,6.918087289,6.087897008,0.830190281
,C,2.4,,0.0108,0.0107,0.0096,0.0358,0.0351,0.034,0.0104,0.035,1.6439,0.1813,1.8252,,,,,,,0.760496111,0.684970556,0.075525556,6.455367711,5.814279314,0.641088397
7,A,2.7,2.8,0.0114,0.0111,0.0113,0.0368,0.0361,0.0363,0.0113,0.0364,1.7056,0.2329,1.9385,1.7012,0.2222,1.9234,0.0633,0.0475,0.1105,0.717972346,0.631716543,0.086255802,6.856211832,6.032519865,0.823691967
,B,2.7,,0.0101,0.0103,0.0102,0.0346,0.035,0.0347,0.0102,0.0348,1.6358,0.1702,1.806,,,,,,,0.668905679,0.605855802,0.063049877,6.387654146,5.785565066,0.602089081
,C,3,,0.0121,0.0117,0.0119,0.0381,0.0375,0.0374,0.0119,0.0377,1.7621,0.2634,2.0255,,,,,,,0.675181778,0.587367556,0.087814222,7.163985758,6.23223692,0.931748839
8,A,2.2,2.3,0.0046,0.0046,0.005,0.0167,0.016,0.0166,0.0047,0.0164,0.7743,0.0723,0.8465,0.8341,0.0682,0.9023,0.0672,0.0267,0.0843,0.384791515,0.351935758,0.032855758,2.994062861,2.738412204,0.255650657
,B,2.5,,0.0045,0.0048,0.0045,0.0174,0.0177,0.0169,0.0046,0.0173,0.8214,0.0397,0.8611,,,,,,,0.344429867,0.328542933,0.015886933,3.04546462,2.90499163,0.14047299
,C,2.2,,0.0058,0.0055,0.0056,0.0194,0.0194,0.019,0.0056,0.0193,0.9067,0.0926,0.9993,,,,,,,0.454227273,0.412158182,0.042069091,3.534342505,3.2070029,0.327339605
9,A,3,3.1,0.0123,0.0121,0.0121,0.0375,0.0373,0.0374,0.0122,0.0374,1.7454,0.2942,2.0397,1.7094,0.2615,1.9708,0.0491,0.0392,0.0882,0.679885778,0.581810222,0.098075556,7.213897338,6.173271085,1.040626253
,B,3,,0.0107,0.0108,0.011,0.0352,0.0352,0.0354,0.0108,0.0353,1.6535,0.218,1.8715,,,,,,,0.623825333,0.551172,0.072653333,6.619070524,5.848185612,0.770884912
,C,3.3,,0.0118,0.0118,0.0119,0.0371,0.0369,0.037,0.0118,0.037,1.7292,0.2722,2.0014,,,,,,,0.606474747,0.52399798,0.082476768,7.078470208,6.115842588,0.96262762
10,A,3,2.8,0.0373,0.0368,0.0362,0.1083,0.107,0.1066,0.0368,0.1073,4.9854,1.0173,6.0026,5.0115,1.0574,6.0688,0.0998,0.0386,0.1277,2.000869778,1.661786222,0.339083556,21.23013841,17.63230766,3.597830751
,B,2.6,,0.0384,0.0383,0.0383,0.1109,0.1103,0.1099,0.0383,0.1104,5.1217,1.0943,6.216,,,,,,,2.390766154,1.969873846,0.420892308,21.98483412,18.11442314,3.870410978
,C,2.8,,0.0368,0.0372,0.0369,0.1065,0.1064,0.1057,0.037,0.1062,4.9274,1.0605,5.9878,,,,,,,2.138517619,1.759768095,0.378749524,21.17793497,17.4271439,3.750791068
11,A,2.7,3,0.021,0.0209,0.0209,0.0649,0.0643,0.0638,0.0209,0.0643,3.0023,0.5066,3.5089,2.994,0.4888,3.4828,0.0592,0.0154,0.0632,1.299593086,1.111974321,0.187618765,12.41034637,10.61869798,1.791648393
,B,3.2,,0.0205,0.0206,0.0197,0.0634,0.0631,0.0618,0.0203,0.0628,2.9311,0.4796,3.4107,,,,,,,1.065853333,0.915966667,0.149886667,12.06313456,10.36674448,1.696390087
,C,3.1,,0.0207,0.0208,0.0211,0.0653,0.0652,0.0652,0.0209,0.0652,3.0486,0.4802,3.5288,,,,,,,1.138335484,0.983429677,0.154905806,12.48086581,10.78245738,1.698408432
