Leaf No.,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,,,A664,,,Average,,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Chlorophyll content per weight,,,Chlorophyll content per area,,
,,,,A1,A2,A3,A1,A2,A3,A647,A664,,,,,,,,,,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2)
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,6.10,6.03,0.0881,0.0828,0.0823,0.2324,0.2263,0.2254,0.0844,0.2280,10.5199,2.7446,13.2646,10.4033,2.6179,13.0212,0.1755,0.1169,0.2796,2.174519781,1.724580546,0.449939235,46.91437599,37.20712079,9.707255193
,B,6.20,,0.0803,0.0803,0.0799,0.2219,0.2206,0.2197,0.0802,0.2207,10.2015,2.5143,12.7158,,,,,,,2.050929677,1.645400645,0.405529032,44.97334654,36.08079508,8.892551461
,C,5.80,,0.0831,0.0820,0.0825,0.2283,0.2267,0.2259,0.0825,0.2270,10.4883,2.5948,13.0832,,,,,,,2.255721379,1.808333793,0.447387586,46.27284431,37.09533847,9.177505836
2,A,5.20,5.37,0.0794,0.0791,0.0792,0.2269,0.2248,0.2245,0.0792,0.2254,10.4486,2.3229,12.7715,10.5134,2.3585,12.8719,0.1296,0.0333,0.1559,2.456058205,2.009344872,0.446713333,45.17048407,36.95477588,8.215708189
,B,5.40,,0.0811,0.0810,0.0811,0.2311,0.2299,0.2292,0.0811,0.2301,10.6626,2.3889,13.0516,,,,,,,2.416956049,1.974558025,0.442398025,46.1610054,37.71172573,8.449279668
,C,5.50,,0.0797,0.0796,0.0795,0.2260,0.2250,0.2243,0.0796,0.2251,10.4290,2.3637,12.7928,,,,,,,2.325960727,1.896189091,0.429771636,45.24575228,36.8856193,8.360132984
3,A,5.40,5.43,0.0626,0.0625,0.0624,0.1804,0.1795,0.1792,0.0625,0.1797,8.3381,1.7897,10.1279,8.4333,1.8158,10.2491,0.1026,0.0300,0.1325,1.875528148,1.544098519,0.33142963,35.82037207,29.49045766,6.329914409
,B,5.40,,0.0633,0.0632,0.0629,0.1823,0.1813,0.1808,0.0631,0.1815,8.4199,1.8091,10.2290,,,,,,,1.89425037,1.559237037,0.335013333,36.1779444,29.77958548,6.398358916
