,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,A,2.174519781,1.724580546,0.449939235,46.91437599,37.20712079,9.707255193,46.05352228,36.794418113333336,9.259104163333333,2.160390279,1.7261049946666667,0.43428528433333335
1,1,B,2.050929677,1.645400645,0.405529032,44.97334654,36.08079508,8.892551461,46.05352228,36.794418113333336,9.259104163333333,2.160390279,1.7261049946666667,0.43428528433333335
2,1,C,2.255721379,1.808333793,0.447387586,46.27284431,37.09533847,9.177505836,46.05352228,36.794418113333336,9.259104163333333,2.160390279,1.7261049946666667,0.43428528433333335
3,2,A,2.456058205,2.009344872,0.446713333,45.17048407,36.95477588,8.215708189,45.52574725,37.18404030333333,8.341706947,2.399658327,1.9600306626666668,0.43962766466666664
4,2,B,2.416956049,1.974558025,0.442398025,46.1610054,37.71172573,8.449279668,45.52574725,37.18404030333333,8.341706947,2.399658327,1.9600306626666668,0.43962766466666664
5,2,C,2.325960727,1.896189091,0.429771636,45.24575228,36.8856193,8.360132984,45.52574725,37.18404030333333,8.341706947,2.399658327,1.9600306626666668,0.43962766466666664
6,3,A,1.875528148,1.544098519,0.33142963,35.82037207,29.49045766,6.329914409,36.24924508333333,29.82712189,6.422123191333333,1.8863219706666665,1.5521390843333336,0.3341828866666667
7,3,B,1.89425037,1.559237037,0.335013333,36.1779444,29.77958548,6.398358916,36.24924508333333,29.82712189,6.422123191333333,1.8863219706666665,1.5521390843333336,0.3341828866666667
8,3,C,1.889187394,1.553081697,0.336105697,36.74941878,30.21132253,6.538096249,36.24924508333333,29.82712189,6.422123191333333,1.8863219706666665,1.5521390843333336,0.3341828866666667
9,4,A,1.872706667,1.537853333,0.334853333,31.13008889,25.56380656,5.566282332,30.190986613333333,24.769169946666665,5.421816667000001,1.8421252176666665,1.5112985506666667,0.33082666666666666
10,4,B,1.84838,1.513873913,0.334506087,30.07196718,24.62976586,5.442201316,30.190986613333333,24.769169946666665,5.421816667000001,1.8421252176666665,1.5112985506666667,0.33082666666666666
11,4,C,1.805288986,1.482168406,0.32312058,29.37090377,24.11393742,5.256966353,30.190986613333333,24.769169946666665,5.421816667000001,1.8421252176666665,1.5112985506666667,0.33082666666666666
12,5,A,1.123213548,0.908001935,0.215211613,24.63013369,19.91091462,4.719219071,25.644963176666664,20.761035266666667,4.883927912000001,1.144538363,0.9266257466666667,0.217912616
13,5,B,1.165584821,0.937494564,0.228090256,26.79600104,21.55236142,5.243639622,25.644963176666664,20.761035266666667,4.883927912000001,1.144538363,0.9266257466666667,0.217912616
14,5,C,1.14481672,0.934380741,0.210435979,25.5087548,20.81982976,4.688925043,25.644963176666664,20.761035266666667,4.883927912000001,1.144538363,0.9266257466666667,0.217912616
15,6,A,1.53599322,1.242973559,0.293019661,32.05192049,25.93741246,6.114508029,30.719148333333333,24.96217962333333,5.756968711333333,1.440644516,1.1706018966666667,0.27004261933333334
16,6,B,1.447187104,1.177096175,0.270090929,31.22247059,25.39536913,5.82710146,30.719148333333333,24.96217962333333,5.756968711333333,1.440644516,1.1706018966666667,0.27004261933333334
17,6,C,1.338753224,1.091735956,0.247017268,28.88305392,23.55375728,5.329296645,30.719148333333333,24.96217962333333,5.756968711333333,1.440644516,1.1706018966666667,0.27004261933333334
18,7,A,2.515794214,2.030113711,0.485680503,47.15890689,38.05475938,9.104147509,46.64230506333333,37.59772700333334,9.044578057666667,2.4315294890000003,1.960062737,0.47146675166666663
19,7,B,2.29916092,1.851923218,0.447237701,47.16394332,37.98951215,9.174431162,46.64230506333333,37.59772700333334,9.044578057666667,2.4315294890000003,1.960062737,0.47146675166666663
20,7,C,2.479633333,1.998151282,0.481482051,45.60406498,36.74890948,8.855155502,46.64230506333333,37.59772700333334,9.044578057666667,2.4315294890000003,1.960062737,0.47146675166666663
21,8,A,2.342441667,1.913044048,0.429397619,46.39482681,37.89009927,8.504727547,47.22782611333333,38.500423633333334,8.727402482,2.2787696263333337,1.8578123843333332,0.42095724233333337
