,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,A,2.176596478,1.616285031,0.560311447,40.8005989,30.29748414,10.50311476,38.768358836666664,30.16507824,8.603280596333333,2.0552456326666664,1.5989053293333333,0.456340303
1,1,B,1.932222642,1.540151698,0.392070943,36.21977789,28.87035439,7.349423499,38.768358836666664,30.16507824,8.603280596333333,2.0552456326666664,1.5989053293333333,0.456340303
2,1,C,2.056917778,1.640279259,0.416638519,39.28469972,31.32739619,7.95730353,38.768358836666664,30.16507824,8.603280596333333,2.0552456326666664,1.5989053293333333,0.456340303
3,2,A,3.62484881,2.900876905,0.723971905,71.79441654,57.45529697,14.33911957,71.40923659666667,57.22184496,14.187391636666666,3.5037013066666667,2.8075385409999996,0.6961627656666667
4,2,B,3.313096949,2.657181017,0.655915932,69.1351489,55.4480017,13.6871472,71.40923659666667,57.22184496,14.187391636666666,3.5037013066666667,2.8075385409999996,0.6961627656666667
5,2,C,3.573158161,2.864557701,0.70860046,73.29814435,58.76223621,14.53590814,71.40923659666667,57.22184496,14.187391636666666,3.5037013066666667,2.8075385409999996,0.6961627656666667
6,3,A,3.189856,2.576532364,0.613323636,62.05067553,50.11999717,11.93067836,63.859104163333335,51.47874686666666,12.380357296666668,3.1331531726666664,2.5258988876666666,0.6072542846666668
7,3,B,3.176298851,2.563055632,0.613243218,65.15715263,52.57735965,12.57979298,63.859104163333335,51.47874686666666,12.380357296666668,3.1331531726666664,2.5258988876666666,0.6072542846666668
8,3,C,3.033304667,2.438108667,0.595196,64.36948433,51.73888378,12.63060055,63.859104163333335,51.47874686666666,12.380357296666668,3.1331531726666664,2.5258988876666666,0.6072542846666668
9,4,A,2.849103958,2.259286042,0.589817917,64.49128292,51.14037868,13.35090425,58.83652668666667,46.99262141333333,11.843905276666666,2.586724917,2.0662364056666664,0.520488512
10,4,B,2.441024444,1.940948889,0.500075556,56.98083516,45.30757115,11.67326401,58.83652668666667,46.99262141333333,11.843905276666666,2.586724917,2.0662364056666664,0.520488512
11,4,C,2.470046349,1.998474286,0.471572063,55.03746198,44.52991441,10.50754757,58.83652668666667,46.99262141333333,11.843905276666666,2.586724917,2.0662364056666664,0.520488512
12,5,A,2.470598824,1.889024706,0.581574118,59.41880173,45.43173233,13.98706939,60.819726016666664,46.40551272,14.414213293333333,2.7278180420000004,2.08114233,0.6466757116666666
13,5,B,2.75645875,2.10197125,0.6544875,62.39419962,47.57945816,14.81474146,60.819726016666664,46.40551272,14.414213293333333,2.7278180420000004,2.08114233,0.6466757116666666
14,5,C,2.956396552,2.252431034,0.703965517,60.6461767,46.20534767,14.44082903,60.819726016666664,46.40551272,14.414213293333333,2.7278180420000004,2.08114233,0.6466757116666666
15,6,A,2.397028458,1.917994826,0.479033632,56.80162222,45.45011436,11.35150786,50.814208576666665,40.674131710000005,10.140076865666666,2.231727498333333,1.7861140383333334,0.4456134603333333
16,6,B,2.056994256,1.659820513,0.397173744,47.28889675,38.15814293,9.130753814,50.814208576666665,40.674131710000005,10.140076865666666,2.231727498333333,1.7861140383333334,0.4456134603333333
17,6,C,2.241159781,1.780526776,0.460633005,48.35210676,38.41413784,9.937968923,50.814208576666665,40.674131710000005,10.140076865666666,2.231727498333333,1.7861140383333334,0.4456134603333333
18,7,A,2.979813125,2.359406875,0.62040625,67.44996817,53.40667751,14.04329066,66.93767025666666,52.028748830000005,14.90892143,3.123277961,2.425593686333333,0.697684275
19,7,B,3.165289425,2.363118851,0.802170575,64.93131027,48.47594728,16.455363,66.93767025666666,52.028748830000005,14.90892143,3.123277961,2.425593686333333,0.697684275
20,7,C,3.224731333,2.554255333,0.670476,68.43173233,54.2036217,14.22811063,66.93767025666666,52.028748830000005,14.90892143,3.123277961,2.425593686333333,0.697684275
21,8,A,3.390937778,2.711536425,0.679401353,82.75260192,66.17245998,16.58014194,81.5243058,64.79048988999999,16.73381591,3.4243624323333335,2.7212444516666667,0.7031179803333334
22,8,B,3.573257778,2.827314343,0.745943434,83.41055858,65.99800052,17.41255806,81.5243058,64.79048988999999,16.73381591,3.4243624323333335,2.7212444516666667,0.7031179803333334
23,8,C,3.308891741,2.624882587,0.684009154,78.4097569,62.20100917,16.20874773,81.5243058,64.79048988999999,16.73381591,3.4243624323333335,2.7212444516666667,0.7031179803333334
25,9,B,2.877677874,2.307509372,0.570168502,70.22698357,56.31256514,13.91441843,72.42418948,58.00099267,14.423196815,3.0617968855,2.4519536605,0.6098432255
26,9,C,3.245915897,2.596397949,0.649517949,74.62139539,59.6894202,14.9319752,72.42418948,58.00099267,14.423196815,3.0617968855,2.4519536605,0.6098432255
27,10,A,1.991079614,1.609124444,0.381955169,48.59039872,39.26914716,9.321251562,44.169886743333336,35.969246973333334,8.200639771,1.859742263,1.5148246343333334,0.34491762833333334
28,10,B,2.021876816,1.635522587,0.386354229,47.91177289,38.75645941,9.15531348,44.169886743333336,35.969246973333334,8.200639771,1.859742263,1.5148246343333334,0.34491762833333334
29,10,C,1.566270359,1.299826872,0.266443487,36.00748862,29.88213435,6.125354271,44.169886743333336,35.969246973333334,8.200639771,1.859742263,1.5148246343333334,0.34491762833333334
30,11,A,1.093841111,0.781550889,0.312290222,23.21230341,16.58522082,6.627082596,20.28692242,15.511639276666669,4.775283141666667,0.9873573693333334,0.7559431666666666,0.231414203
31,11,B,0.923640452,0.733612429,0.190028023,19.27381576,15.30845771,3.965358044,20.28692242,15.511639276666669,4.775283141666667,0.9873573693333334,0.7559431666666666,0.231414203
32,11,C,0.944590545,0.752666182,0.191924364,18.37464809,14.6412393,3.733408785,20.28692242,15.511639276666669,4.775283141666667,0.9873573693333334,0.7559431666666666,0.231414203
33,12,A,2.933389727,2.314054208,0.619335519,63.28668506,49.92477423,13.36191083,61.64959248,48.762215776666665,12.887376706666666,2.9217398093333333,2.3109902073333335,0.6107496023333333
34,12,B,2.870638667,2.278204,0.592434667,60.91756384,48.34556129,12.57200255,61.64959248,48.762215776666665,12.887376706666666,2.9217398093333333,2.3109902073333335,0.6107496023333333
35,12,C,2.961191034,2.340712414,0.620478621,60.74452854,48.01631181,12.72821674,61.64959248,48.762215776666665,12.887376706666666,2.9217398093333333,2.3109902073333335,0.6107496023333333
36,13,A,1.990615309,1.590279506,0.400335802,38.01840089,30.37245998,7.645940912,36.97672773666667,29.666058336666666,7.310669401999999,1.9247529383333335,1.5441817416666666,0.38057119633333336
37,13,B,1.949619506,1.566267901,0.383351605,37.23542949,29.91386669,7.321562802,36.97672773666667,29.666058336666666,7.310669401999999,1.9247529383333335,1.5441817416666666,0.38057119633333336
38,13,C,1.834024,1.475997818,0.358026182,35.67635283,28.71184834,6.964504492,36.97672773666667,29.666058336666666,7.310669401999999,1.9247529383333335,1.5441817416666666,0.38057119633333336
39,14,A,1.651155077,1.323781538,0.327373538,37.95893047,30.43283582,7.526094645,35.73444939666666,28.636624146666666,7.097825249666666,1.6741014516666668,1.3418092113333333,0.3322922396666667
40,14,B,1.728076066,1.377539672,0.350536393,37.28253519,29.7198557,7.562679494,35.73444939666666,28.636624146666666,7.097825249666666,1.6741014516666668,1.3418092113333333,0.3322922396666667
41,14,C,1.643073212,1.324106424,0.318966788,31.96188253,25.75718092,6.20470161,35.73444939666666,28.636624146666666,7.097825249666666,1.6741014516666668,1.3418092113333333,0.3322922396666667
42,15,A,3.119009953,2.399038498,0.719971455,78.32273703,60.24323878,18.07949824,73.11829635666666,58.28455668,14.833739673333334,3.0052591776666664,2.397433793,0.6078253846666667
43,15,B,2.707552121,2.228535152,0.47901697,63.20239089,52.02069746,11.18169343,73.11829635666666,58.28455668,14.833739673333334,3.0052591776666664,2.397433793,0.6078253846666667
44,15,C,3.189215459,2.564727729,0.624487729,77.82976115,62.5897338,15.24002735,73.11829635666666,58.28455668,14.833739673333334,3.0052591776666664,2.397433793,0.6078253846666667
45,16,A,2.149232903,1.711794194,0.43743871,47.12896654,37.53669095,9.592275589,42.567590169999995,34.225317329999996,8.342272838333335,1.9401389163333331,1.5592336033333334,0.3809053136666667
46,16,B,1.508668513,1.244069949,0.264598564,34.68326142,28.60032067,6.082940747,42.567590169999995,34.225317329999996,8.342272838333335,1.9401389163333331,1.5592336033333334,0.3809053136666667
47,16,C,2.162515333,1.721836667,0.440678667,45.89054255,36.53894037,9.351602179,42.567590169999995,34.225317329999996,8.342272838333335,1.9401389163333331,1.5592336033333334,0.3809053136666667
49,17,B,0.862935673,0.711015205,0.151920468,17.39666596,14.33396996,3.062695999,19.192195419999997,15.533361629999998,3.6588337935,0.970928685,0.7856002085,0.1853284765
50,17,C,1.078921697,0.860185212,0.218736485,20.98772488,16.7327533,4.254971588,19.192195419999997,15.533361629999998,3.6588337935,0.970928685,0.7856002085,0.1853284765
51,18,A,2.961522557,2.32482484,0.636697717,76.46287991,60.02412582,16.4387541,76.18880164333332,59.95919769333333,16.229603953333335,3.0506823493333335,2.4009319569999996,0.6497503923333333
52,18,B,3.058473148,2.409926852,0.648546296,77.88429888,61.36900804,16.51529084,76.18880164333332,59.95919769333333,16.229603953333335,3.0506823493333335,2.4009319569999996,0.6497503923333333
53,18,C,3.132051343,2.468044179,0.664007164,74.21922614,58.48445922,15.73476692,76.18880164333332,59.95919769333333,16.229603953333335,3.0506823493333335,2.4009319569999996,0.6497503923333333
54,19,A,3.186682807,2.516480702,0.670202105,64.24309259,50.73190917,13.51118342,65.37167558666668,51.724360819999994,13.64731477,3.2237748566666666,2.5507436836666666,0.673031173
55,19,B,3.230126207,2.559203448,0.670922759,66.26134258,52.4983377,13.76300488,65.37167558666668,51.724360819999994,13.64731477,3.2237748566666666,2.5507436836666666,0.673031173
56,19,C,3.254515556,2.576546901,0.677968655,65.61059159,51.94283559,13.66775601,65.37167558666668,51.724360819999994,13.64731477,3.2237748566666666,2.5507436836666666,0.673031173
57,20,A,0.545627778,0.455406889,0.090220889,11.57871779,9.664148452,1.914569333,13.009980116666666,10.816215918333333,2.193764196333333,0.617496172,0.5132804156666667,0.10421575666666666
58,20,B,0.796057627,0.645168136,0.150889492,16.61151588,13.46287048,3.148645399,13.009980116666666,10.816215918333333,2.193764196333333,0.617496172,0.5132804156666667,0.10421575666666666
59,20,C,0.510803111,0.439266222,0.071536889,10.83970668,9.321628823,1.518077857,13.009980116666666,10.816215918333333,2.193764196333333,0.617496172,0.5132804156666667,0.10421575666666666
