Leaf No.,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,41.448511,33.485180729999996,7.963330268,2.190958039333333,1.7698893476666668,0.42106869166666666
2,50.44354216,39.75479317333333,10.688748989999999,3.4719724366666664,2.7344053266666664,0.7375671103333333
3,45.294102943333336,35.05946570333333,10.234637242,3.4176825796666663,2.6439767753333334,0.7737058043333334
4,34.36069416,27.637334653333337,6.723359505666667,2.0675995613333336,1.6628857716666667,0.40471379
5,53.19928949333333,41.12431523,12.074974258,2.506892937,1.936170602,0.570722335
6,17.414988250000004,15.01071263,2.4042756203333333,1.0476035393333334,0.9036281766666666,0.14397536266666666
7,23.053871243333333,19.266168366666665,3.7877028759999996,1.6127984626666667,1.347199933,0.2655985296666667
8,50.93254737666666,39.34508814666667,11.587459226666667,3.589816513,2.774094054666666,0.8157224586666668
9,26.655278113333335,20.265831976666664,6.389446134333333,1.6657432206666665,1.2663712403333334,0.3993719806666667
10,42.2244009,33.602945776666665,8.621455125333334,2.0749270836666667,1.653608217333333,0.421318866
11,57.26818357,44.319121609999996,12.949061956666668,4.122151255666667,3.1924796863333333,0.92967157
12,39.30709642666667,31.020922246666668,8.286174184333333,3.1741058706666667,2.5056681573333335,0.668437713
13,29.18027555666667,23.604520836666666,5.575754717333333,1.8364492886666668,1.484892504,0.3515567849999999
14,43.793102420000004,33.62741584666667,10.165686575,3.190885811,2.451552823,0.739332988
15,41.10274457,31.610730704999998,9.4920138645,3.0475730370000003,2.3449730645,0.7025999725000001
16,50.65443399333333,38.214284029999995,12.440149963333333,3.019619608333333,2.280354813666667,0.7392647946666666
17,47.105301296666674,34.603085676666666,12.502215621333333,2.7999389686666665,2.0614540016666667,0.7384849666666667
18,50.46397711666666,37.661839300000004,12.802137806666666,4.149919895666667,3.0983584326666667,1.0515614626666665
19,41.81804720666667,33.888651530000004,7.929395675666666,2.4815950973333334,2.0115804403333333,0.4700146573333333
20,32.43975855,26.862818606666664,5.5769399449999995,1.8032735383333334,1.4926382406666667,0.31063529766666664
21,47.88150400999999,37.761107573333334,10.120396437666667,2.5448352983333336,2.008387667666667,0.5364476303333333
22,23.630059813333332,19.873521803333333,3.7565380053333333,1.2857664073333332,1.0818047286666668,0.20396167899999998
23,51.298873719999996,39.235148116666664,12.063725606666665,3.570004633,2.7298742173333337,0.840130416
24,35.226142589999995,27.6558833,7.570259288,2.2210737786666668,1.7441414689999999,0.47693230966666667
25,41.14823041,32.723170875,8.425059536500001,2.654921049,2.1095616010000002,0.545359448
26,54.829151243333335,40.14424717,14.684904076666667,4.660654511666667,3.4182873336666666,1.2423671783333334
27,51.49421926666667,40.27925459666667,11.214964671333334,4.404811137666667,3.4456817369999997,0.9591294006666665
28,37.71789394,29.907203316666667,7.810690622666667,2.183272028666667,1.7300164133333336,0.45325561566666667
29,48.11233092,38.05173029,10.060600630333333,3.658057979666667,2.8937292256666667,0.7643287543333334
30,45.65954115666667,35.93227228666667,9.727268869000001,2.642566423,2.0791184049999996,0.5634480183333334
31,52.45372190999999,39.389469713333334,13.064252196666667,3.609318237,2.702965671,0.9063525656666668
32,50.8899295,40.01146872,10.878460776666666,2.9511555076666665,2.3230498909999997,0.6281056166666666
33,51.61277027333333,39.21679752666667,12.395972743333333,3.961765919333333,3.0092924736666666,0.9524734453333332
34,38.73607476,29.99567879333333,8.740395966333333,2.1198083559999996,1.6414845150000001,0.47832384099999997
35,46.43058326333334,35.86799022333333,10.56259304,3.6548910439999998,2.8232045146666667,0.8316865296666668
36,40.69285327,32.08509584666667,8.607757421333334,2.629544203,2.0728842056666665,0.5566599976666667
37,51.029358736666666,39.54367184666666,11.485686886666665,2.491914959666667,1.9310800099999998,0.5608349499999999
38,54.072536213333336,40.54397365666667,13.528562556666666,2.91825161,2.1881457263333335,0.730105884
39,51.76580604,41.24976067666666,10.516045366666667,2.7480923233333336,2.1896162826666665,0.5584760403333333
40,51.44147194333333,38.97114742333334,12.470324523333334,2.6106095023333333,1.9797324713333335,0.630877031
41,57.36441174666667,45.46385450333333,11.900557246666667,2.8492869000000005,2.2591068386666664,0.5901800613333333
42,22.241737599999997,17.814210150000005,4.427527449333334,1.6171110956666668,1.2942056103333333,0.32290548566666666
43,45.81408282333334,35.62780725,10.186275572666666,2.2667448446666665,1.7645464986666666,0.5021983456666667
44,30.535574893333333,23.920636943333335,6.614937948666667,1.8420086843333332,1.4426014633333333,0.399407221
45,44.80697146,35.91827435,8.888697115000001,2.7167004469999996,2.1777136593333335,0.5389867873333333
46,65.02010013,49.92924791666667,15.090852213333335,4.573331743,3.510724524333334,1.0626072186666666
47,42.24998389,33.29600182666667,8.953982064333331,2.86801292,2.259787228,0.608225692
48,54.79878019,42.733199723333335,12.065580473333332,3.9209025996666664,3.058514219333334,0.8623883806666667
49,47.18233162666667,37.49011655666667,9.69221507,2.487148158,1.976271657,0.5108765009999999
50,59.67609189333333,45.71415120333333,13.961940693333332,4.562747372666666,3.4964255373333337,1.0663218353333332
51,45.983905119999996,35.0845724,10.899332719999999,2.8183957003333333,2.151307389333333,0.6670883106666667
52,48.34041954666666,35.03153584333334,13.308883700666668,3.367324443,2.4314752013333334,0.9358492420000001
53,50.825403789999996,40.161821225,10.663582565,3.7433850140000002,2.9566277774999996,0.7867572355
54,65.29704400666667,48.23493590333334,17.062108103333333,4.863708962333334,3.5980092826666663,1.2656996796666666
55,23.87457813333333,19.28486635,4.589711788333333,1.8631455153333334,1.503523486,0.35962202933333337
56,50.98832693000001,40.49148727,10.496839656333334,2.6778061043333334,2.128230014333333,0.5495760903333333
57,51.86043086,42.31732491,9.543105955000001,2.7736441543333332,2.264758128,0.508886026
58,50.6174373,40.22797544666667,10.389461853333334,3.0348130580000006,2.410484057333333,0.624329001
59,57.16090479666667,44.94988721333334,12.211017583333332,3.496715839666667,2.7503585063333333,0.7463573326666667
60,51.60496097666667,40.73810096333333,10.866860013,3.93120944,3.1037968580000004,0.8274125816666666
61,58.55616703333334,44.26674211666667,14.289424913333335,4.416816821333334,3.3374570833333337,1.0793597380000002
62,40.40203878333333,31.624859903333334,8.777178876333332,2.1852173853333334,1.7067513310000002,0.47846605400000003
63,50.944860216666676,40.09152185333333,10.85333836333333,3.6564750269999995,2.875866594666667,0.7806084323333334
64,43.41053185666667,35.05779003666667,8.35274182,3.067801057,2.4780748586666665,0.5897261986666668
65,57.22440719333334,45.59631385,11.628093336666666,3.793806865666667,3.0235856853333334,0.770221181
66,60.37900230333333,45.80612891333333,14.57287339,4.468548650333333,3.389218217333333,1.079330433
67,42.421796230000005,33.412567493333334,9.009228738000001,2.5832044140000003,2.0310800456666667,0.5521243683333333
68,47.724772660000006,38.57547963333334,9.149293029333334,2.6580616573333335,2.1487735740000002,0.5092880833333333
69,67.03215361000001,50.013028066666664,17.01912554,5.278399989666666,3.940017329333333,1.338382661
70,55.36329725666667,41.75331871666666,13.609978543333334,3.858836306666667,2.9110478893333336,0.9477884173333333
71,56.005739076666664,43.39586899666667,12.609870083333334,3.2549232193333335,2.523660711333333,0.7312625083333334
72,53.140781086666664,42.10266047333334,11.038120613333334,2.7767289363333334,2.1970112676666664,0.579717669
73,51.05006562666667,40.18136018333333,10.868705446666667,3.2399230753333335,2.55048217,0.6894409053333334
74,55.79259468666667,42.623155940000004,13.169438743333332,4.3795901226666665,3.3466147423333332,1.03297538
75,49.872650963333335,38.37690693666667,11.49574402866667,3.56990967,2.7335971826666667,0.8363124873333333
76,49.41714335,38.091474696666666,11.325668653666666,2.720177273333333,2.089170256333333,0.6310070173333333
77,38.36450606333333,30.622426573333332,7.742079491999999,2.244995071,1.7925342869999998,0.4524607836666667
78,29.962976586666667,23.691179176666665,6.2717974110000005,1.6648650276666668,1.3156176813333333,0.349247346
79,44.45067710666667,35.58810528666667,8.862571817000001,2.667673425666667,2.1359293536666666,0.5317440723333333
80,52.61048627666667,40.16619902,12.444287253333334,3.460142046,2.6414642036666667,0.8186778426666667
81,52.11563666666667,39.88441992333333,12.231216743333334,3.511616997333333,2.684298541,0.8273184563333333
82,62.3537227,48.70780379333333,13.645918906666665,3.569859739,2.7891078799999995,0.7807518596666666
83,43.1259626,35.308330386666675,7.817632218333333,2.1526161223333333,1.762371464,0.390244658
84,43.674628436666666,32.59132143666667,11.083307003666668,3.3779955073333334,2.5244683523333333,0.8535271550000001
85,36.50150982666666,29.252374776666667,7.249135051666667,2.2258105906666668,1.7823482039999998,0.44346238666666665
86,32.43369251666666,24.827527446666664,7.606165067333333,1.9198838093333332,1.4697210626666666,0.45016274666666667
87,53.974712536666665,42.39892638,11.575786153333333,3.326009039666667,2.6118256516666665,0.7141833883333334
88,54.18304056333333,42.221986433333335,11.961054126666667,3.3522467393333333,2.610573042,0.7416736976666667
89,47.50001336333333,38.32051433,9.179499028666667,2.501769561,2.017066853333333,0.48470270766666673
90,53.53535168,42.73680413333333,10.798547546666668,2.8726470803333335,2.293731746,0.578915334
91,58.08780741,44.84971352,13.23809389,3.848449110666667,2.972753744666667,0.8756953656666666
