Leaf No.,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,1,64,50,0.108131799342331,0.1157413333139419,0.1852406901318069,0.1809849404384316,0.139999994104424,0.112428349885386,White LED,12.5 mA,b'OK Read',11:05:52,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,50,0.1082416462021674,0.1162508345029347,0.1855463337200571,0.1814310058124888,0.1402428061312902,0.1141058342521191,White LED,25 mA,b'OK Read',11:05:53,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,50,0.1103758123548783,0.1185753591953592,0.1884321136527756,0.1842081224666639,0.1425345855550818,0.1170908082444297,White LED,50 mA,b'OK Read',11:05:54,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,50,0.1160595476371672,0.1245353097055967,0.1988440326578567,0.1944216795783294,0.1504031637021121,0.1234625462795011,White LED,100 mA,b'OK Read',11:05:55,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,100,0.1081554953127416,0.1156395869251147,0.1851834420092393,0.1808283408687794,0.1401145746427598,0.1133307439393664,White LED,12.5 mA,b'OK Read',11:05:56,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,100,0.1082100577323533,0.1159439955230825,0.1853541297526305,0.1811882527468828,0.1402989771791358,0.1138484328834588,White LED,25 mA,b'OK Read',11:05:57,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,100,0.1098015644335971,0.1175912134012688,0.1870164472962305,0.1828860144669261,0.1417322781700142,0.1159243199931538,White LED,50 mA,b'OK Read',11:05:58,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,100,0.1161185970372184,0.1243795375956333,0.1986058745401669,0.1942384315949362,0.1504194671925575,0.1233757090110505,White LED,100 mA,b'OK Read',11:05:59,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,150,0.1080828354055973,0.1155212256580566,0.185084943108187,0.1807394351887574,0.1399830523231173,0.1134060286984547,White LED,12.5 mA,b'OK Read',11:06:00,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,150,0.1083251009303887,0.1158831301304293,0.1854026428493901,0.1811895571874646,0.140435983511382,0.1142178921062521,White LED,25 mA,b'OK Read',11:06:01,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,150,0.1100198058944738,0.1174197060844068,0.1863680099418061,0.1821583014879848,0.1412564798549656,0.1156308882436242,White LED,50 mA,b'OK Read',11:06:03,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,150,0.1168052306228019,0.1245321445224191,0.198758589641073,0.1942234047934457,0.1505271010285792,0.1233181828754945,White LED,100 mA,b'OK Read',11:06:04,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,200,0.1080453150810168,0.1155696294865424,0.1852298156696676,0.1808398789225099,0.14015698709418,0.1133638649776159,White LED,12.5 mA,b'OK Read',11:06:05,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,200,0.1081882580475949,0.1158058902894472,0.1852565689497823,0.1810067333347758,0.1403824314592285,0.1137241318869205,White LED,25 mA,b'OK Read',11:06:06,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,200,0.109847065872704,0.1170606099640736,0.1857151973590264,0.1814694060488726,0.1408839999547052,0.1147275202993826,White LED,50 mA,b'OK Read',11:06:07,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,200,0.1169631959535971,0.1243773113975359,0.1985009077146856,0.193900185760563,0.1505060475061226,0.1224874763477768,White LED,100 mA,b'OK Read',11:06:08,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,250,0.1078780120408473,0.1153572058368558,0.1852230075164095,0.1807050739759772,0.1403188335970266,0.1129777717006104,White LED,12.5 mA,b'OK Read',11:06:09,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,250,0.1081343292062052,0.1157634861604475,0.1853284107754645,0.1809766680251599,0.1404838192897586,0.1133332046535925,White LED,25 mA,b'OK Read',11:06:11,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
