Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,50,33.2,256.6,972.45,281.65,707.65,1628.35,650.25,470.2,1941.65,121.85,297.45,121.55,542.8,273.7,109.5,39.95,26.05,19.5,b'White',12.5 mA,b'OK Read',10:08:27
1,1,64,50,18.95,13.75,16.7,17.9,26.5,16.15,18.8,31.35,17.2,29.35,36.55,16.75,31.65,47.05,516.95,1112.75,624.9,233.85,b'IR',12.5 mA,b'OK Read',10:08:27
1,1,64,50,2077.2,329.95,25.05,17.9,7.55,6.45,10.75,7.85,5.75,15.8,5.2,10.5,13.55,8.55,4.4,0.0,6.5,4.85,b'UV',12.5 mA,b'OK Read',10:08:28
1,1,64,50,52.15,270.35,989.15,299.55,734.15,1638.05,666.4,498.95,1964.55,148.9,323.55,136.2,569.95,316.5,622.05,1152.7,647.65,253.35,b'White IR',12.5 mA,b'OK Read',10:08:29
1,1,64,50,1915.95,559.05,993.35,299.55,715.25,1628.35,658.3,475.45,1947.35,133.1,292.25,132.05,556.4,282.25,109.5,39.95,26.05,24.35,b'White UV',12.5 mA,b'OK Read',10:08:30
1,1,64,50,1896.95,316.2,37.55,35.75,34.05,19.4,29.55,39.2,22.9,40.6,41.75,27.25,40.7,51.3,516.95,1112.75,624.9,233.85,b'UV IR',12.5 mA,b'OK Read',10:08:31
1,1,64,50,1735.75,545.3,1005.85,312.95,737.95,1641.25,674.45,504.15,1964.55,157.95,334.0,146.7,583.5,325.05,622.05,1152.7,647.65,253.35,b'White UV IR',12.5 mA,b'OK Read',10:08:32
1,1,64,50,71.15,549.9,1778.0,518.65,1373.7,3156.55,1260.2,906.45,3751.55,232.4,558.4,236.8,1063.0,538.85,210.3,79.9,45.55,39.0,b'White',25 mA,b'OK Read',10:08:33
1,1,64,50,37.95,32.1,33.4,40.25,56.75,29.1,40.3,65.3,40.1,58.65,88.7,33.55,63.35,94.1,1051.4,2294.0,1334.4,506.7,b'IR',25 mA,b'OK Read',10:08:34
1,1,64,50,2750.6,426.15,29.2,22.35,11.35,9.7,16.1,13.05,5.75,20.3,20.9,16.75,18.1,8.55,4.4,0.0,6.5,4.85,b'UV',25 mA,b'OK Read',10:08:35
1,1,64,50,104.35,582.0,1807.2,558.85,1430.45,3185.6,1295.15,966.55,3791.65,288.8,610.6,270.35,1121.8,632.95,1257.3,2368.2,1376.7,545.7,b'White IR',25 mA,b'OK Read',10:08:36
1,1,64,50,2285.85,902.75,1803.05,536.5,1381.25,3159.75,1268.25,911.65,3751.55,245.95,574.05,251.5,1085.6,551.7,214.65,79.9,48.8,43.85,b'White UV',25 mA,b'OK Read',10:08:37
1,1,64,50,2247.9,384.95,58.45,58.1,68.1,35.55,51.05,73.15,40.1,72.2,93.95,46.1,76.9,102.65,1051.4,2294.0,1337.65,511.55,b'UV IR',25 mA,b'OK Read',10:08:37
1,1,64,50,1783.15,856.95,1828.1,572.3,1434.25,3182.4,1303.2,971.75,3785.9,297.8,615.8,282.9,1139.9,641.5,1248.5,2356.75,1379.95,550.55,b'White UV IR',25 mA,b'OK Read',10:08:38
