Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
1,1,64,50,2574.173,590.413,543.326,358.279,187.897,97.627,White LED,12.5 mA,b'OK Read',9:07:24
1,1,64,50,5040.792,1201.911,1108.829,740.1289999999999,370.574,189.153,White LED,25 mA,b'OK Read',9:07:26
1,1,64,50,9400.395,2409.093,2406.159,1664.11,730.709,384.408,White LED,50 mA,b'OK Read',9:07:27
1,1,64,50,10992.223,2894.075,2960.573,2078.959,887.29,457.629,White LED,100 mA,b'OK Read',9:07:28
1,1,64,100,2584.929,640.492,593.2230000000001,400.707,200.945,100.678,White LED,12.5 mA,b'OK Read',9:07:29
1,1,64,100,5019.28,1215.09,1122.689,744.8430000000001,381.013,192.204,White LED,25 mA,b'OK Read',9:07:30
1,1,64,100,9346.616,2295.755,2145.584,1423.687,715.051,360.001,White LED,50 mA,b'OK Read',9:07:31
1,1,64,100,11010.149,2733.293,2616.836,1741.895,845.535,430.171,White LED,100 mA,b'OK Read',9:07:32
1,1,64,150,2576.564,609.741,558.111,364.564,191.376,97.627,White LED,12.5 mA,b'OK Read',9:07:33
1,1,64,150,5002.549,1198.396,1110.677,727.557,374.05300000000005,189.153,White LED,25 mA,b'OK Read',9:07:34
1,1,64,150,9321.52,2305.419,2225.05,1478.686,718.5310000000001,366.103,White LED,50 mA,b'OK Read',9:07:35
1,1,64,150,11028.075,2771.072,2744.3520000000003,1840.107,869.8919999999999,439.324,White LED,100 mA,b'OK Read',9:07:36
1,1,64,200,2574.174,614.134,569.661,373.6,195.726,97.627,White LED,12.5 mA,b'OK Read',9:07:37
1,1,64,200,4997.769,1182.142,1089.425,715.3789999999999,373.184,187.628,White LED,25 mA,b'OK Read',9:07:38
1,1,64,200,9303.594,2229.861,2145.584,1420.151,705.9169999999999,358.476,White LED,50 mA,b'OK Read',9:07:39
1,1,64,200,11037.039,2662.127,2604.362,1730.109,848.145,428.646,White LED,100 mA,b'OK Read',9:07:41
1,1,64,250,2574.174,596.738,551.0880000000001,359.222,191.028,96.407,White LED,12.5 mA,b'OK Read',9:07:42
1,1,64,250,4993.467000000001,1153.413,1052.279,685.444,367.442,185.492,White LED,25 mA,b'OK Read',9:07:44
1,1,64,250,9285.668,2176.091,2046.898,1343.545,692.086,351.459,White LED,50 mA,b'OK Read',9:07:46
1,1,64,250,11040.982,2603.086,2493.756,1646.197,831.965,423.459,White LED,100 mA,b'OK Read',9:07:48
1,2,64,50,2366.232,542.9680000000001,521.149,348.851,182.678,97.627,White LED,12.5 mA,b'OK Read',9:08:03
1,2,64,50,4653.59,1054.307,1009.035,678.8439999999999,365.354,195.255,White LED,25 mA,b'OK Read',9:08:04
1,2,64,50,8733.548,2119.159,1995.892,1433.115,709.832,390.51,White LED,50 mA,b'OK Read',9:08:05
1,2,64,50,10246.501,2577.782,2422.791,1796.108,855.9739999999999,475.934,White LED,100 mA,b'OK Read',9:08:06
1,2,64,100,2409.255,574.5980000000001,529.466,372.421,198.335,106.78,White LED,12.5 mA,b'OK Read',9:08:07
1,2,64,100,4689.441,1096.48,1014.578,700.058,381.013,201.357,White LED,25 mA,b'OK Read',9:08:08
1,2,64,100,8751.474,2037.45,1923.818,1308.189,709.832,375.256,White LED,50 mA,b'OK Read',9:08:09
1,2,64,100,10339.717,2395.914,2320.225,1572.184,835.096,445.425,White LED,100 mA,b'OK Read',9:08:10
1,2,64,150,2418.815,530.668,504.517,333.136,189.636,101.695,White LED,12.5 mA,b'OK Read',9:08:11
1,2,64,150,4696.612,1045.522,997.946,663.13,370.574,197.289,White LED,25 mA,b'OK Read',9:08:12
1,2,64,150,8755.059000000001,2018.999,1958.931,1326.26,706.352,376.273,White LED,50 mA,b'OK Read',9:08:13
1,2,64,150,10380.349,2442.479,2409.855,1657.825,852.4939999999999,457.629,White LED,100 mA,b'OK Read',9:08:14
1,2,64,200,2421.803,539.015,514.22,342.958,193.116,102.204,White LED,12.5 mA,b'OK Read',9:08:15
1,2,64,200,4698.404,1039.811,997.946,662.3439999999999,373.184,196.78,White LED,25 mA,b'OK Read',9:08:16
