Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,50,47.4,462.85,1498.35,496.3,972.55,1870.65,577.7,478.05,1620.9,157.95,360.1,125.75,529.25,286.55,100.75,39.95,29.3,29.25,b'White',12.5 mA,b'OK Read',9:09:16
1,1,64,50,18.95,13.75,12.5,17.9,26.5,12.9,18.8,31.35,17.2,29.35,36.55,16.75,27.15,42.75,490.65,1089.95,602.1,224.1,b'IR',12.5 mA,b'OK Read',9:09:17
1,1,64,50,2489.75,380.35,29.2,22.35,11.35,9.7,13.45,10.45,5.75,22.55,20.9,14.65,22.6,12.85,4.4,0.0,6.5,9.75,b'UV',12.5 mA,b'OK Read',9:09:18
1,1,64,50,66.4,476.6,1515.05,509.7,999.05,1883.6,593.85,506.75,1638.05,180.5,407.05,140.4,551.85,320.75,587.0,1129.9,628.15,253.35,b'White IR',12.5 mA,b'OK Read',9:09:18
1,1,64,50,2357.0,820.25,1523.4,509.7,980.15,1877.1,585.75,488.5,1620.9,171.45,381.0,140.4,547.35,290.8,105.15,39.95,32.55,34.1,b'White UV',12.5 mA,b'OK Read',9:09:19
1,1,64,50,2323.8,371.2,37.55,35.75,37.85,22.6,29.55,39.2,22.9,47.4,41.75,31.45,45.25,51.3,490.65,1089.95,605.35,233.85,b'UV IR',12.5 mA,b'OK Read',9:09:20
1,1,64,50,2191.0,811.1,1535.95,527.55,1006.6,1890.05,601.9,514.6,1638.05,196.3,391.4,155.1,569.95,329.3,591.4,1129.9,631.4,258.2,b'White UV IR',12.5 mA,b'OK Read',9:09:21
1,1,64,50,99.6,1003.55,2742.15,907.6,1888.35,3634.7,1117.8,924.75,3115.8,295.55,709.75,243.1,1022.3,547.4,192.75,79.9,52.05,53.6,b'White',25 mA,b'OK Read',9:09:23
1,1,64,50,33.2,32.1,29.2,35.75,53.0,29.1,40.3,62.7,40.1,58.65,83.5,33.55,54.3,85.55,1003.2,2242.65,1288.85,492.1,b'IR',25 mA,b'OK Read',9:09:24
1,1,64,50,3352.9,499.5,37.55,31.3,18.9,12.9,16.1,15.65,5.75,29.35,10.45,20.95,27.15,17.1,4.4,0.0,6.5,9.75,b'UV',25 mA,b'OK Read',9:09:24
1,1,64,50,132.8,1031.05,2767.15,943.35,1941.35,3660.55,1155.4,987.4,3155.85,349.7,788.05,276.65,1076.55,632.95,1191.55,2322.55,1337.65,545.7,b'White IR',25 mA,b'OK Read',9:09:25
1,1,64,50,2945.05,1434.3,2771.35,934.45,1899.7,3637.95,1128.55,935.2,3115.8,318.15,688.9,259.85,1040.4,560.25,197.15,79.9,55.35,58.45,b'White UV',25 mA,b'OK Read',9:09:26
1,1,64,50,2873.9,462.85,62.6,62.6,68.1,38.75,53.75,75.75,40.1,78.95,78.3,50.3,76.9,98.35,1003.2,2242.65,1292.1,501.85,b'UV IR',25 mA,b'OK Read',9:09:27
1,1,64,50,2475.55,1393.1,2792.2,965.75,1948.9,3663.8,1163.45,995.25,3155.85,367.75,751.5,289.2,1090.15,637.25,1182.8,2311.1,1340.9,550.55,b'White UV IR',25 mA,b'OK Read',9:09:28
1,1,64,50,199.2,2135.45,4733.0,1618.5,3519.4,6804.15,2087.8,1724.05,5773.35,543.75,1268.2,454.75,1931.5,1039.25,359.2,148.35,94.4,97.45,b'White',50 mA,b'OK Read',9:09:30
1,1,64,50,71.15,59.55,62.6,76.0,109.75,54.9,77.9,128.0,74.45,115.05,146.15,67.05,108.55,166.8,1918.75,4331.2,2681.85,1071.85,b'IR',50 mA,b'OK Read',9:09:30
1,1,64,50,4102.2,604.9,45.9,35.75,18.9,16.15,21.5,18.3,5.75,36.1,26.1,25.15,31.65,17.1,8.75,5.7,9.75,9.75,b'UV',50 mA,b'OK Read',9:09:31
1,1,64,50,232.4,1828.4,4194.6,1475.4,3122.05,5880.15,1862.1,1598.7,5034.5,575.35,1221.2,454.75,1746.05,1043.55,2216.65,4445.35,2756.7,1154.7,b'White IR',50 mA,b'OK Read',9:09:32
1,1,64,50,3111.05,2488.3,4628.65,1596.15,3402.1,6558.6,2026.0,1674.45,5572.9,546.0,1231.65,461.05,1886.25,1017.85,350.45,142.65,94.4,102.3,b'White UV',50 mA,b'OK Read',9:09:33
1,1,64,50,2892.9,490.35,91.8,98.35,121.1,64.6,91.35,138.45,80.2,135.35,167.0,83.85,131.2,175.35,1914.4,4325.5,2685.1,1081.6,b'UV IR',50 mA,b'OK Read',9:09:34
1,1,64,50,2096.15,2066.7,4131.95,1462.0,3050.15,5725.05,1824.45,1567.35,4908.5,577.6,1247.3,456.85,1714.35,1030.7,2177.25,4405.4,2756.7,1164.45,b'White UV IR',50 mA,b'OK Read',9:09:35
1,1,64,50,237.1,2547.85,5371.55,1855.45,4060.55,7838.0,2410.25,1985.3,6649.65,625.0,1461.3,532.3,2248.15,1214.6,416.15,171.2,107.4,112.05,b'White',100 mA,b'OK Read',9:09:36
1,1,64,50,128.05,119.15,116.85,138.6,211.9,103.4,147.8,245.55,137.45,218.85,276.6,127.85,203.55,299.35,3346.9,7526.85,5409.2,2363.0,b'IR',100 mA,b'OK Read',9:09:37
1,1,64,50,4657.05,678.2,50.1,40.25,22.7,19.4,24.2,20.9,5.75,40.6,15.65,29.35,36.2,21.4,8.75,5.7,9.75,14.6,b'UV',100 mA,b'OK Read',9:09:38
