Leaf No.,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,1,64,50,3623.367,2697.856,5308.462,5164.939,3799.459,1347.971,White LED,12.5 mA,b'OK Read',11:05:52,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,50,7076.43,5249.553,10418.327,10130.128,7414.845,2659.261,White LED,25 mA,b'OK Read',11:05:53,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,50,13418.789,9884.021,19768.518,19194.928,14003.721,5052.597,White LED,50 mA,b'OK Read',11:05:54,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,50,16137.782,11832.81,23820.984,23123.325,16859.215,6075.037,White LED,100 mA,b'OK Read',11:05:55,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,100,3623.367,2682.632,5276.257,5134.025,3780.58,1352.555,White LED,12.5 mA,b'OK Read',11:05:56,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,100,7076.43,5219.104,10359.283,10073.057,7386.526,2643.214,White LED,25 mA,b'OK Read',11:05:57,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,100,13404.108,9807.895,19591.391,19030.849,13911.684,4999.87,White LED,50 mA,b'OK Read',11:05:58,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,100,16231.743,11826.72,23780.728,23104.302,16861.575,6072.744,White LED,100 mA,b'OK Read',11:05:59,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,150,3621.409,2673.496,5261.943,5118.965,3771.14,1351.027,White LED,12.5 mA,b'OK Read',11:06:00,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,150,7078.387,5208.954,10339.603,10052.448,7378.66,2647.035,White LED,25 mA,b'OK Read',11:06:01,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,150,13403.129,9790.64,19537.717,18968.228,13871.566,4988.407,White LED,50 mA,b'OK Read',11:06:03,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,150,16284.596,11836.87,23804.881,23101.129,16873.374,6068.923,White LED,100 mA,b'OK Read',11:06:04,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,200,3618.962,2670.452,5258.812,5115.001,3771.14,1349.117,White LED,12.5 mA,b'OK Read',11:06:05,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,200,7070.557,5199.311,10319.027,10030.253,7367.647,2632.898,White LED,25 mA,b'OK Read',11:06:06,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,200,13382.085,9760.698,19469.28,18896.493,13834.988,4949.435,White LED,50 mA,b'OK Read',11:06:07,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,200,16306.619,11822.153,23774.019,23062.685,16871.014,6028.041,White LED,100 mA,b'OK Read',11:06:08,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,250,3616.32,2663.752,5255.86,5109.77,3772.084,1344.302,White LED,12.5 mA,b'OK Read',11:06:09,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,250,7070.557,5195.962,10315.27,10023.595,7367.647,2621.665,White LED,25 mA,b'OK Read',11:06:11,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,250,13372.983,9737.861,19431.44,18856.305,13815.872,4916.882,White LED,50 mA,b'OK Read',11:06:13,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,1,64,250,16326.879,11806.015,23759.795,23049.133,16867.711,6001.678,White LED,100 mA,b'OK Read',11:06:15,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,50,3963.975,2789.206,5651.982,5436.026,4073.209,1393.819,White LED,12.5 mA,b'OK Read',11:06:25,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,50,7734.156,5432.253,11094.632,10662.792,7957.625,2755.544,White LED,25 mA,b'OK Read',11:06:27,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,50,14663.771,10243.329,21072.822,20203.185,15023.203,5235.993,White LED,50 mA,b'OK Read',11:06:28,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,50,17670.519,12289.558,25436.604,24388.401,18105.249,6308.868,White LED,100 mA,b'OK Read',11:06:29,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
