Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
1,1,64,50,2215.653,500.796,537.7819999999999,362.99300000000005,193.116,97.627,White LED,12.5 mA,b'OK Read',10:42:52
1,1,64,50,4295.07,1075.394,1219.712,848.555,386.232,207.459,White LED,25 mA,b'OK Read',10:42:54
1,1,64,50,8081.041,2324.749,2816.426,2027.104,803.78,421.018,White LED,50 mA,b'OK Read',10:42:55
1,1,64,50,9680.041,2857.1740000000004,3553.797,2573.95,1002.115,512.544,White LED,100 mA,b'OK Read',10:42:56
1,1,64,100,2201.313,585.141,645.893,454.92,216.603,109.831,White LED,12.5 mA,b'OK Read',10:42:57
1,1,64,100,4273.558,1136.017,1277.9260000000002,900.4110000000001,412.329,207.459,White LED,25 mA,b'OK Read',10:42:58
1,1,64,100,8012.922,2264.126,2630.697,1876.249,801.171,402.714,White LED,50 mA,b'OK Read',10:42:59
1,1,64,100,9694.381,2796.551,3340.347,2392.454,991.677,500.341,White LED,100 mA,b'OK Read',10:43:00
1,1,64,150,2189.362,569.326,637.577,446.277,215.733,109.831,White LED,12.5 mA,b'OK Read',10:43:01
1,1,64,150,4256.827,1149.195,1313.9620000000002,925.553,419.288,211.526,White LED,25 mA,b'OK Read',10:43:02
1,1,64,150,7975.875,2319.4770000000003,2773.921,1984.676,828.137,412.883,White LED,50 mA,b'OK Read',10:43:03
1,1,64,150,9701.551,2878.26,3548.253,2558.236,1033.432,512.544,White LED,100 mA,b'OK Read',10:43:05
1,1,64,200,2188.765,589.094,681.93,479.669,223.127,111.356,White LED,12.5 mA,b'OK Read',10:43:06
1,1,64,200,4243.084,1166.328,1341.683,946.375,426.682,212.035,White LED,25 mA,b'OK Read',10:43:07
1,1,64,200,7946.596,2281.258,2736.035,1954.033,825.962,407.29,White LED,50 mA,b'OK Read',10:43:08
1,1,64,200,9699.759,2791.28,3448.458,2470.238,1020.383,504.917,White LED,100 mA,b'OK Read',10:43:09
1,1,64,250,2185.538,574.5980000000001,668.6239999999999,469.534,220.257,111.051,White LED,12.5 mA,b'OK Read',10:43:10
1,1,64,250,4237.707,1133.381,1311.745,922.096,420.68,209.899,White LED,25 mA,b'OK Read',10:43:12
1,1,64,250,7924.726,2201.394,2646.775,1877.192,809.0,400.273,White LED,50 mA,b'OK Read',10:43:14
1,1,64,250,9684.342,2689.539,3306.528,2358.983,996.896,494.239,White LED,100 mA,b'OK Read',10:43:15
1,2,64,50,2165.461,474.4380000000001,598.768,391.278,198.335,103.729,White LED,12.5 mA,b'OK Read',10:43:37
