Leaf No.,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,1,64,50,5661.143,3483.463,7659.428000000001,7409.736,5961.139,1985.276,White LED,12.5 mA,b'OK Read',10:25:36,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,50,11245.944,6869.485,14986.072,14515.094,11672.128,3878.854,White LED,25 mA,b'OK Read',10:25:37,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,50,21158.816000000003,12880.284,28265.279,27337.077,21885.83,7235.024,White LED,50 mA,b'OK Read',10:25:38,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,50,24975.979,15139.663,33444.92,32330.803,25855.202,8537.146,White LED,100 mA,b'OK Read',10:25:39,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,100,5746.295,3507.822,7597.703,7366.933000000001,5949.339,1980.691,White LED,12.5 mA,b'OK Read',10:25:40,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,100,11237.135,6845.126,14927.03,14453.266,11624.928999999998,3855.929,White LED,25 mA,b'OK Read',10:25:41,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,100,21147.073,12828.521,28131.091,27208.667,21781.992,7196.053000000001,White LED,50 mA,b'OK Read',10:25:42,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,100,25099.302000000003,15157.933,33423.45,32311.777,25852.842,8539.438,White LED,100 mA,b'OK Read',10:25:43,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,150,5743.359,3497.673,7580.706,7351.08,5935.967,1974.578,White LED,12.5 mA,b'OK Read',10:25:44,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,150,11222.454,6834.976,14896.613,14429.487,11599.757,3845.231,White LED,25 mA,b'OK Read',10:25:45,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,150,21137.283,12805.176,28027.318,27104.036,21715.915,7176.9490000000005,White LED,50 mA,b'OK Read',10:25:46,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,150,25165.858,15159.964,33407.347,32299.095,25845.762,8540.203000000001,White LED,100 mA,b'OK Read',10:25:47,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,200,5737.486999999999,3494.12,7578.916,7346.721,5931.64,1973.814,White LED,12.5 mA,b'OK Read',10:25:48,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,200,11218.049,6831.423000000001,14885.431,14414.031,11587.17,3844.466,White LED,25 mA,b'OK Read',10:25:49,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,200,21119.177000000003,12781.323,27975.432,27064.8,21663.997000000003,7159.3730000000005,White LED,50 mA,b'OK Read',10:25:51,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,200,25216.753,15176.204,33424.793,32327.236,25849.302000000003,8546.315,White LED,100 mA,b'OK Read',10:25:52,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,250,5736.312,3493.206,7575.696,7346.958,5929.044,1974.272,White LED,12.5 mA,b'OK Read',10:25:54,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,250,11215.406,6830.51,14880.869,14409.513,11580.562,3842.174,White LED,25 mA,b'OK Read',10:25:56,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,250,21116.535,12774.319,27938.934,27036.502,21635.678,7151.579000000001,White LED,50 mA,b'OK Read',10:25:58,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,250,25249.639,15170.113,33408.422,32320.34,25837.266,8544.481,White LED,100 mA,b'OK Read',10:25:59,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,50,5584.801,3495.6420000000003,7605.754,7324.13,5961.139,1976.106,White LED,12.5 mA,b'OK Read',10:26:05,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,50,11733.365,6991.285,15002.174,14653.017,11809.003,3956.798,White LED,25 mA,b'OK Read',10:26:06,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,50,22074.936,13117.794,28302.852000000003,27593.896,22150.139,7395.498,White LED,50 mA,b'OK Read',10:26:07,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,50,26144.617,15480.702,33557.637,32716.033,26223.347,8752.638,White LED,100 mA,b'OK Read',10:26:08,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,100,6007.624,3577.857,7613.805,7445.406,6027.217,2028.833,White LED,12.5 mA,b'OK Read',10:26:09,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,100,11745.111,6982.15,14953.867,14603.078,11773.603,3947.628,White LED,25 mA,b'OK Read',10:26:10,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,100,22110.171,13084.299,28160.613,27475.0,22048.662,7370.28,White LED,50 mA,b'OK Read',10:26:11,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,100,26285.557,15486.792,33538.85,32713.655,26223.347,8759.515,White LED,100 mA,b'OK Read',10:26:12,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,150,6005.667,3572.782,7596.807,7430.346,6013.057,2025.012,White LED,12.5 mA,b'OK Read',10:26:13,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,150,11739.238,6975.045,14921.662,14575.335,11747.645,3943.042,White LED,25 mA,b'OK Read',10:26:14,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
