Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
1,1,64,50,3054.59,664.2139999999999,421.355,287.566,187.897,115.933,White LED,12.5 mA,b'OK Read',10:23:54
1,1,64,50,5922.75,1275.713,820.533,556.275,365.354,219.662,White LED,25 mA,b'OK Read',10:23:55
1,1,64,50,11071.097,2403.822,1585.625,1084.264,688.954,414.917,White LED,50 mA,b'OK Read',10:23:56
1,1,64,50,13085.98,2888.803,1929.362,1334.1170000000002,814.2189999999999,494.239,White LED,100 mA,b'OK Read',10:23:57
1,1,64,100,3033.079,664.2139999999999,426.899,287.566,187.897,112.882,White LED,12.5 mA,b'OK Read',10:23:58
1,1,64,100,5890.483,1275.712,823.306,556.275,365.354,219.662,White LED,25 mA,b'OK Read',10:23:59
1,1,64,100,11010.149,2393.278,1560.677,1055.979,686.345,411.866,White LED,50 mA,b'OK Read',10:24:00
1,1,64,100,13103.906,2836.088,1887.781,1275.189,816.829,491.1880000000001,White LED,100 mA,b'OK Read',10:24:01
1,1,64,150,3023.519,643.128,419.507,281.28,186.157,111.865,White LED,12.5 mA,b'OK Read',10:24:02
1,1,64,150,5874.948,1256.383,820.534,551.561,363.615,219.662,White LED,25 mA,b'OK Read',10:24:03
1,1,64,150,10968.322,2386.25,1602.2579999999998,1079.5510000000002,685.475,410.849,White LED,50 mA,b'OK Read',10:24:04
1,1,64,150,13136.173,2911.647,2023.613,1373.402,824.658,496.273,White LED,100 mA,b'OK Read',10:24:05
1,1,64,200,3020.531,666.85,439.3730000000001,295.816,187.897,112.882,White LED,12.5 mA,b'OK Read',10:24:06
1,1,64,200,5865.387,1279.6660000000002,849.64,572.775,365.355,219.662,White LED,25 mA,b'OK Read',10:24:07
1,1,64,200,10949.201,2439.405,1697.894,1156.156,691.564,414.917,White LED,50 mA,b'OK Read',10:24:08
1,1,64,200,13148.721,2982.373,2117.863,1457.865,833.791,501.866,White LED,100 mA,b'OK Read',10:24:10
1,1,64,250,3014.436,677.92,452.402,308.308,189.984,113.492,White LED,12.5 mA,b'OK Read',10:24:12
1,1,64,250,5852.48,1289.418,859.342,587.389,367.442,219.662,White LED,25 mA,b'OK Read',10:24:13
1,1,64,250,10924.821000000002,2435.451,1690.964,1160.635,691.0419999999999,413.697,White LED,50 mA,b'OK Read',10:24:15
1,1,64,250,13147.646,2971.039,2108.993,1459.514,835.096,501.561,White LED,100 mA,b'OK Read',10:24:17
1,2,64,50,3154.976,685.3,449.076,301.709,187.897,115.933,White LED,12.5 mA,b'OK Read',10:24:28
1,2,64,50,6109.181,1302.07,848.2539999999999,565.703,370.574,219.662,White LED,25 mA,b'OK Read',10:24:29
1,2,64,50,11436.789,2440.722,1641.067,1098.408,694.174,414.917,White LED,50 mA,b'OK Read',10:24:30
1,2,64,50,13552.055,2941.519,2101.231,1409.544,829.877,494.239,White LED,100 mA,b'OK Read',10:24:31
1,2,64,100,3137.05,680.028,462.936,308.78,190.506,112.882,White LED,12.5 mA,b'OK Read',10:24:32
1,2,64,100,6084.085,1312.6129999999998,895.38,596.345,370.574,219.662,White LED,25 mA,b'OK Read',10:24:33
1,2,64,100,11372.255,2477.623,1732.545,1162.049,699.393,411.866,White LED,50 mA,b'OK Read',10:24:34
1,2,64,100,13573.567,2925.704,2018.069,1352.974,832.4860000000001,491.1880000000001,White LED,100 mA,b'OK Read',10:24:36
1,2,64,150,3123.9040000000005,662.457,441.684,295.423,189.636,111.865,White LED,12.5 mA,b'OK Read',10:24:37
1,2,64,150,6068.549,1288.013,846.4060000000001,565.703,367.094,217.628,White LED,25 mA,b'OK Read',10:24:38
1,2,64,150,11334.012,2423.151,1600.41,1076.408,692.434,408.815,White LED,50 mA,b'OK Read',10:24:39
1,2,64,150,13580.737,2916.918,1933.059,1308.975,828.137,492.205,White LED,100 mA,b'OK Read',10:24:40
1,2,64,200,3117.3320000000003,666.85,435.215,292.28,189.201,112.882,White LED,12.5 mA,b'OK Read',10:24:41
1,2,64,200,6055.403,1295.481,846.868,569.239,369.269,218.136,White LED,25 mA,b'OK Read',10:24:42
1,2,64,200,11309.513,2448.63,1603.644,1087.8,692.8689999999999,410.341,White LED,50 mA,b'OK Read',10:24:44
1,2,64,200,13587.908,2963.922,1972.329,1347.081,831.182,495.765,White LED,100 mA,b'OK Read',10:24:45
1,2,64,250,3114.822,677.92,441.314,297.937,189.984,112.272,White LED,12.5 mA,b'OK Read',10:24:46
1,2,64,250,6057.554,1305.233,860.451,579.846,369.53,218.441,White LED,25 mA,b'OK Read',10:24:48
1,2,64,250,11293.38,2450.211,1613.346,1095.579,694.174,410.036,White LED,50 mA,b'OK Read',10:24:50
1,2,64,250,13586.473999999998,2963.659,1985.913,1359.5739999999998,833.0089999999999,496.68,White LED,100 mA,b'OK Read',10:24:51
1,3,64,50,3133.465,585.141,504.517,325.279,198.335,109.831,White LED,12.5 mA,b'OK Read',10:24:58
1,3,64,50,6080.499,1133.381,959.137,617.559,381.012,219.662,White LED,25 mA,b'OK Read',10:24:59
1,3,64,50,11365.084,2140.245,1835.112,1211.548,715.051,414.917,White LED,50 mA,b'OK Read',10:25:00
1,3,64,50,13494.692,2625.226,2256.467,1541.542,850.755,500.341,White LED,100 mA,b'OK Read',10:25:01
1,3,64,100,3119.1240000000003,606.227,504.517,334.708,195.726,112.882,White LED,12.5 mA,b'OK Read',10:25:02
1,3,64,100,6048.233,1151.831,970.225,641.13,381.013,219.662,White LED,25 mA,b'OK Read',10:25:03
1,3,64,100,11318.476,2174.51,1854.516,1230.405,717.6610000000001,411.866,White LED,50 mA,b'OK Read',10:25:04
1,3,64,100,13523.374,2561.968,2209.342,1451.9720000000002,855.9739999999999,491.1880000000001,White LED,100 mA,b'OK Read',10:25:05
1,3,64,150,3111.954,576.355,493.429,318.994,194.856,111.865,White LED,12.5 mA,b'OK Read',10:25:06
1,3,64,150,6042.257,1136.895,953.593,617.56,379.273,217.628,White LED,25 mA,b'OK Read',10:25:07
1,3,64,150,11281.428999999998,2129.701,1811.088,1181.691,713.311,408.815,White LED,50 mA,b'OK Read',10:25:08
1,3,64,150,13528.155,2570.753,2184.393,1433.115,852.4939999999999,494.239,White LED,100 mA,b'OK Read',10:25:09
1,3,64,200,3102.991,585.141,492.043,320.565,194.421,112.882,White LED,12.5 mA,b'OK Read',10:25:10
1,3,64,200,6032.099,1138.652,961.909,626.988,379.708,218.136,White LED,25 mA,b'OK Read',10:25:11
1,3,64,200,11257.528,2154.741,1815.707,1191.513,713.7460000000001,411.866,White LED,50 mA,b'OK Read',10:25:13
1,3,64,200,13530.544,2612.047,2216.272,1469.65,855.9739999999999,498.815,White LED,100 mA,b'OK Read',10:25:14
1,3,64,250,3100.481,595.684,497.864,326.222,195.204,113.492,White LED,12.5 mA,b'OK Read',10:25:16
1,3,64,250,6027.439,1140.761,968.008,633.5880000000001,378.925,218.441,White LED,25 mA,b'OK Read',10:25:18
1,3,64,250,11234.583,2143.407,1811.827,1188.92,714.007,411.256,White LED,50 mA,b'OK Read',10:25:19
1,3,64,250,13526.242,2589.38,2220.985,1465.171,857.018,497.9,White LED,100 mA,b'OK Read',10:25:21
2,1,64,50,3886.357,627.313,521.149,301.709,213.993,128.136,White LED,12.5 mA,b'OK Read',10:35:59
2,1,64,50,7428.534000000001,1275.713,1031.211,598.702,407.109,244.068,White LED,25 mA,b'OK Read',10:36:00
2,1,64,50,13351.285,2403.822,1951.539,1164.406,735.929,445.425,White LED,50 mA,b'OK Read',10:36:01
2,1,64,50,15308.803,2836.088,2284.188,1367.116,850.755,512.544,White LED,100 mA,b'OK Read',10:36:02
2,1,64,100,3803.897,669.4860000000001,529.466,308.78,208.774,125.085,White LED,12.5 mA,b'OK Read',10:36:03
2,1,64,100,7371.170999999999,1299.434,1045.071,612.845,407.109,244.069,White LED,25 mA,b'OK Read',10:36:04
2,1,64,100,13354.871,2445.994,2020.841,1199.763,741.148,445.425,White LED,50 mA,b'OK Read',10:36:05
2,1,64,100,15315.973999999998,2957.333,2431.108,1459.043,863.803,518.646,White LED,100 mA,b'OK Read',10:36:06
2,1,64,150,3790.751,695.8430000000001,550.719,323.708,212.254,126.102,White LED,12.5 mA,b'OK Read',10:36:07
2,1,64,150,7349.66,1331.942,1082.956,636.4159999999999,408.849,244.069,White LED,25 mA,b'OK Read',10:36:08
2,1,64,150,13356.065,2535.61,2099.383,1258.69,748.107,449.49300000000005,White LED,50 mA,b'OK Read',10:36:09
2,1,64,150,15323.143999999998,2988.962,2439.424,1466.114,868.1519999999999,518.646,White LED,100 mA,b'OK Read',10:36:10
2,1,64,200,3777.008,693.207,546.0980000000001,320.565,211.384,126.611,White LED,12.5 mA,b'OK Read',10:36:11
2,1,64,200,7322.771,1304.706,1056.16,618.738,404.5,242.543,White LED,25 mA,b'OK Read',10:36:12
2,1,64,200,13326.188999999998,2449.948,2027.771,1204.477,741.148,445.425,White LED,50 mA,b'OK Read',10:36:14
2,1,64,200,15296.256,2870.353,2349.3320000000003,1397.759,858.5830000000001,512.544,White LED,100 mA,b'OK Read',10:36:15
2,1,64,250,3771.63,672.648,536.673,313.022,209.818,125.695,White LED,12.5 mA,b'OK Read',10:36:17
2,1,64,250,7310.94,1274.658,1030.102,599.645,402.934,240.408,White LED,25 mA,b'OK Read',10:36:19
2,1,64,250,13312.565,2369.029,1962.627,1155.92,734.885,440.544,White LED,50 mA,b'OK Read',10:36:20
2,1,64,250,15278.688999999998,2784.427,2287.514,1351.088,851.798,508.883,White LED,100 mA,b'OK Read',10:36:22
2,2,64,50,3843.334,732.7439999999999,521.149,315.851,213.993,122.035,White LED,12.5 mA,b'OK Read',10:36:44
2,2,64,50,6840.561,1486.5739999999998,953.593,603.4169999999999,381.012,231.865,White LED,25 mA,b'OK Read',10:36:45
2,2,64,50,12297.236,2772.83,1868.377,1206.833,688.954,427.12,White LED,50 mA,b'OK Read',10:36:46
2,2,64,50,14111.347,3342.155,2300.82,1499.114,803.78,500.341,White LED,100 mA,b'OK Read',10:36:47
2,2,64,100,3506.326,798.638,512.8330000000001,325.279,198.335,122.034,White LED,12.5 mA,b'OK Read',10:36:48
2,2,64,100,6804.71,1528.746,992.402,629.345,383.622,234.916,White LED,25 mA,b'OK Read',10:36:50
2,2,64,100,12315.162,2767.558,1801.847,1145.549,694.174,427.12,White LED,50 mA,b'OK Read',10:36:51
2,2,64,100,14129.274,3173.466,2065.194,1319.974,798.561,491.1880000000001,White LED,100 mA,b'OK Read',10:36:52
2,2,64,150,3494.375,759.1010000000001,484.189,306.423,196.596,122.034,White LED,12.5 mA,b'OK Read',10:36:53
2,2,64,150,6783.198,1477.7879999999998,942.505,598.703,381.013,233.899,White LED,25 mA,b'OK Read',10:36:54
2,2,64,150,12313.967,2757.014,1781.519,1148.692,692.434,429.154,White LED,50 mA,b'OK Read',10:36:55
2,2,64,150,14137.638,3270.111,2114.167,1368.688,803.78,496.273,White LED,100 mA,b'OK Read',10:36:56
2,2,64,200,3486.607,778.87,489.271,311.137,197.03,122.034,White LED,12.5 mA,b'OK Read',10:36:57
2,2,64,200,6776.028,1483.938,943.891,599.881,381.013,234.916,White LED,25 mA,b'OK Read',10:36:58
