Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
1,1,64,50,2982.887,632.585,482.341,325.279,203.555,109.831,White LED,12.5 mA,b'OK Read',9:48:29
1,1,64,50,5757.831999999999,1207.182,948.049,645.845,396.671,207.459,White LED,25 mA,b'OK Read',9:48:31
1,1,64,50,10504.636,2235.133,1846.2,1258.69,735.929,390.51,White LED,50 mA,b'OK Read',9:48:32
1,1,64,50,12103.636,2625.226,2234.291,1532.1129999999998,866.413,457.629,White LED,100 mA,b'OK Read',9:48:33
1,1,64,100,2950.62,635.221,521.15,355.922,213.993,112.882,White LED,12.5 mA,b'OK Read',9:48:34
1,1,64,100,5725.565,1222.997,1009.035,688.2719999999999,407.109,213.56,White LED,25 mA,b'OK Read',9:48:36
1,1,64,100,10522.562,2274.669,1957.083,1350.616,754.196,399.663,White LED,50 mA,b'OK Read',9:48:37
1,1,64,100,12135.902,2672.67,2342.401,1626.3970000000002,889.8989999999999,466.781,White LED,100 mA,b'OK Read',9:48:38
1,1,64,150,2939.864,643.128,534.086,366.136,215.733,111.865,White LED,12.5 mA,b'OK Read',9:48:40
1,1,64,150,5710.029,1235.297,1042.299,716.558,410.589,215.594,White LED,25 mA,b'OK Read',9:48:41
1,1,64,150,10523.757,2315.963,2023.613,1411.116,768.9839999999999,404.747,White LED,50 mA,b'OK Read',9:48:42
1,1,64,150,12151.438,2711.328,2395.071,1676.682,902.948,471.866,White LED,100 mA,b'OK Read',9:48:44
1,1,64,200,2936.2790000000005,648.399,540.554,372.421,216.603,112.882,White LED,12.5 mA,b'OK Read',9:48:45
1,1,64,200,5702.261,1244.083,1054.774,729.5219999999999,413.634,218.136,White LED,25 mA,b'OK Read',9:48:46
1,1,64,200,10510.013,2326.0660000000003,2036.087,1422.5079999999998,772.4639999999999,405.764,White LED,50 mA,b'OK Read',9:48:48
1,1,64,200,12157.413,2710.889,2395.071,1678.253,905.558,472.883,White LED,100 mA,b'OK Read',9:48:49
1,1,64,250,2935.562,644.182,535.564,368.65,217.125,112.272,White LED,12.5 mA,b'OK Read',9:48:50
1,1,64,250,5699.034000000001,1239.866,1050.061,725.043,412.329,217.221,White LED,25 mA,b'OK Read',9:48:52
1,1,64,250,10503.202,2314.205,2018.069,1407.658,772.4639999999999,405.154,White LED,50 mA,b'OK Read',9:48:53
1,1,64,250,12148.092,2692.702,2367.35,1655.625,901.904,471.05300000000005,White LED,100 mA,b'OK Read',9:48:55
1,2,64,50,2939.864,606.227,482.341,325.279,203.555,103.729,White LED,12.5 mA,b'OK Read',9:49:07
1,2,64,50,5664.616,1159.739,953.593,645.845,391.452,207.459,White LED,25 mA,b'OK Read',9:49:08
