Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
1,1,64,50,0.10567823501535857,0.12122797126553021,0.19198352045708172,0.19031746114620923,0.16104347861973073,0.1154875844278548,White LED,12.5 mA,b'OK Read',9:05:14
1,1,64,50,0.10967886596936015,0.13068107242709295,0.18841410825246896,0.19054515692616564,0.16032851131352815,0.11863074423471313,White LED,25 mA,b'OK Read',9:05:15
1,1,64,50,0.10979615543706998,0.1315068480003647,0.18812514740532738,0.1904609632422325,0.16026133937687675,0.1207033929854648,White LED,50 mA,b'OK Read',9:05:16
1,1,64,50,0.11086474473999902,0.13293166919998478,0.18979344689730102,0.19230230874118068,0.16172970942428488,0.1221580174600584,White LED,100 mA,b'OK Read',9:05:18
1,1,64,100,0.10982076602034657,0.13112819240618298,0.187915045513037,0.19046023846647747,0.16014343752317511,0.12005381169000354,White LED,12.5 mA,b'OK Read',9:05:19
1,1,64,100,0.10996116196869324,0.13184062468020372,0.18794717374478143,0.19068393483652538,0.16029046164146107,0.12026658706392404,White LED,25 mA,b'OK Read',9:05:20
1,1,64,100,0.1097534549594032,0.13171969477104176,0.18670902325037417,0.1896730989139376,0.15945182349614914,0.11927288103874323,White LED,50 mA,b'OK Read',9:05:21
1,1,64,100,0.11069916645779668,0.13276972339184792,0.18836291057469662,0.19143960705332366,0.1611140862866688,0.12034835633893957,White LED,100 mA,b'OK Read',9:05:22
1,1,64,150,0.1094850077893823,0.13113461133660506,0.18697292143127647,0.18997507515884893,0.15960523052443015,0.1181527022370592,White LED,12.5 mA,b'OK Read',9:05:23
1,1,64,150,0.10970313268230876,0.1314185032399176,0.18678217037331682,0.1898761205861538,0.15974966641586294,0.11850435050284873,White LED,25 mA,b'OK Read',9:05:24
1,1,64,150,0.1098430519081229,0.13124812085658047,0.18530986157458162,0.18853726102039797,0.15875132452459476,0.1185004004041883,White LED,50 mA,b'OK Read',9:05:25
1,1,64,150,0.11130124739210252,0.13290405375151287,0.18818204156859847,0.1914377467207685,0.16113768382340068,0.12058537744476026,White LED,100 mA,b'OK Read',9:05:26
1,1,64,200,0.10953560373088361,0.13118533402181556,0.18674228051626338,0.18975155327814022,0.15958426914970086,0.11846857776189647,White LED,12.5 mA,b'OK Read',9:05:27
1,1,64,200,0.10967090186759919,0.13147276168499855,0.18646110153188683,0.18973951947371281,0.15965017643771298,0.11852660338556856,White LED,25 mA,b'OK Read',9:05:28
