Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
1,1,64,50,0.1475689961465539,0.11812636130632571,0.5784712845045251,0.6399415873090496,0.25436730880346187,0.1992234610536741,White LED,12.5 mA,b'OK Read',10:42:52
1,1,64,50,0.14814714403692972,0.13154279413262532,0.6800791605767244,0.7752938646876305,0.26255293789752987,0.21938235803156275,White LED,25 mA,b'OK Read',10:42:54
1,1,64,50,0.162888341055535,0.16647780833210776,0.9194624613425496,1.078563875692535,0.3194780747846907,0.2591687011463262,White LED,50 mA,b'OK Read',10:42:55
1,1,64,50,0.1707466285106797,0.17929848796842562,1.012703015238527,1.1943913559157395,0.34842766012707693,0.27533293175480983,White LED,100 mA,b'OK Read',10:42:56
1,1,64,100,0.14743976871300102,0.1385089205866818,0.6947621031616553,0.8008858827402507,0.2859269395944804,0.22506014253884166,White LED,12.5 mA,b'OK Read',10:42:57
1,1,64,100,0.14813998363081463,0.139316605861683,0.7121819516624486,0.8220826875067905,0.28094032646653755,0.2200891068486524,White LED,25 mA,b'OK Read',10:42:58
1,1,64,100,0.16183486587620635,0.16210250522734782,0.855230129240991,0.9940678204070158,0.31831872995288224,0.2479021082334865,White LED,50 mA,b'OK Read',10:42:59
1,1,64,100,0.17116535217387902,0.17503075682549088,0.9449835309875723,1.1019882691841767,0.34408892044064665,0.26848675598916627,White LED,100 mA,b'OK Read',10:43:00
1,1,64,150,0.1470238963307072,0.1349989637826628,0.6853716182563099,0.7860352228153946,0.28520920074316675,0.22568245564166756,White LED,12.5 mA,b'OK Read',10:43:01
1,1,64,150,0.14793101535746433,0.14108502533656797,0.7321427775425147,0.8440067553149776,0.2860093561092338,0.22448388318933818,White LED,25 mA,b'OK Read',10:43:02
1,1,64,150,0.1615338909463345,0.16615149680618724,0.900184909866446,1.04942034515791,0.3292886831307628,0.25458663269572035,White LED,50 mA,b'OK Read',10:43:03
1,1,64,150,0.17169556819401283,0.18004603707846,1.0019086108770867,1.1771916461155183,0.3586886991568265,0.2752357919370981,White LED,100 mA,b'OK Read',10:43:05
1,1,64,200,0.14714725858888714,0.13980754413083962,0.7328120735122494,0.8444356421699367,0.2953691822445165,0.2286583362537235,White LED,12.5 mA,b'OK Read',10:43:06
1,1,64,200,0.14754148694881772,0.143281067922621,0.7471382632597329,0.8634123021256522,0.29139305917570596,0.22530669061040595,White LED,25 mA,b'OK Read',10:43:07
1,1,64,200,0.16204741882709892,0.16447546659498466,0.892128986202067,1.0388730809881994,0.33061901050704323,0.2526845941540514,White LED,50 mA,b'OK Read',10:43:08
1,1,64,200,0.17280498999098726,0.17569268542378932,0.9780078610271291,1.1404082822289339,0.3563774073076747,0.27286812628575335,White LED,100 mA,b'OK Read',10:43:09
1,1,64,250,0.14699624071469714,0.1364836100333459,0.7183704341977607,0.8259095780983584,0.291798374724771,0.22812573610373105,White LED,12.5 mA,b'OK Read',10:43:10
1,1,64,250,0.14753138180095587,0.13928150397707753,0.7305017792735515,0.8410107860716847,0.2873569892135252,0.22320546840051975,White LED,25 mA,b'OK Read',10:43:12
1,1,64,250,0.16204743154290233,0.1589554574747502,0.8643818600017787,0.9989956074233518,0.3245232470028399,0.24881891623753957,White LED,50 mA,b'OK Read',10:43:14
1,1,64,250,0.17312089379377854,0.16956641308465045,0.9387793652941806,1.0902894672379289,0.3489974175464474,0.26771615299169865,White LED,100 mA,b'OK Read',10:43:15
1,2,64,50,0.1442260615558992,0.11190910990792773,0.6440715644633059,0.6898068678985829,0.26124163814253926,0.21167556507560986,White LED,12.5 mA,b'OK Read',10:43:37
1,2,64,50,0.14468459297226927,0.12509454359794178,0.7233569050652956,0.8097517758575951,0.26255293789752987,0.21292859834378527,White LED,25 mA,b'OK Read',10:43:38
1,2,64,50,0.15898595450450864,0.1615702287685473,0.9647117151812526,1.128729154776351,0.31740368120398293,0.2516568236016877,White LED,50 mA,b'OK Read',10:43:39
1,2,64,50,0.16695224174115902,0.17532880892475985,1.0648391123647825,1.2556424564414552,0.34842766012707693,0.26877761598444877,White LED,100 mA,b'OK Read',10:43:40
1,2,64,100,0.1440779367922284,0.13726098371448694,0.7693075824799156,0.8838792931951459,0.29626161644607146,0.2375640529992036,White LED,12.5 mA,b'OK Read',10:43:41
1,2,64,100,0.14453593424196912,0.1370538486188302,0.7693414851989842,0.8844922806672629,0.28094032646653755,0.2200891068486524,White LED,25 mA,b'OK Read',10:43:42
1,2,64,100,0.1578523523982684,0.15606373538706478,0.863340959372486,1.0040585715756587,0.3110605459212844,0.24038958736537294,White LED,50 mA,b'OK Read',10:43:43
1,2,64,100,0.1671140977872036,0.16645243462414294,0.9198886204588805,1.0781024157152768,0.3296009038051905,0.2570269652446448,White LED,100 mA,b'OK Read',10:43:45
