Leaf No.,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,1,64,50,0.203444663915921,0.1566729425728636,0.4532352664879156,0.5069669180841342,0.2474929794643844,0.2365797731194813,White LED,12.5 mA,b'OK Read',10:23:54,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,50,0.2042896849980851,0.1560459259874184,0.4575075049401017,0.5082482509432054,0.2483604830066232,0.2322867049871499,White LED,25 mA,b'OK Read',10:23:55,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,50,0.2231584549558541,0.1721403119994907,0.5176499099448308,0.5769057641413025,0.2738382362527206,0.2554130701621551,White LED,50 mA,b'OK Read',10:23:56,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,50,0.2308241221042539,0.1812833274902584,0.5497980652487002,0.619071004712694,0.2830976694301636,0.2654996895048336,White LED,100 mA,b'OK Read',10:23:57,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,100,0.2031498774814215,0.1572263166972785,0.4591987327275686,0.506259451675202,0.2480335644888763,0.2313120977690226,White LED,12.5 mA,b'OK Read',10:23:58,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,100,0.2041895898447129,0.1564482449620202,0.4588244341968188,0.5078836742252592,0.2489339145096642,0.2330350256609194,White LED,25 mA,b'OK Read',10:23:59,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,100,0.2223690667015163,0.1713492798128268,0.5073704772588565,0.5594751778285185,0.2726964264926101,0.2535358833060016,White LED,50 mA,b'OK Read',10:24:00,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,100,0.231364404322814,0.1775053017319165,0.5340528858562449,0.5873648224762947,0.2834207194425331,0.2635751871239947,White LED,100 mA,b'OK Read',10:24:01,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,150,0.2030406776083276,0.1524989436274056,0.4509544595552377,0.4954232180316579,0.2461083338327733,0.2298619506364791,White LED,12.5 mA,b'OK Read',10:24:02,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,150,0.2041631061850304,0.1542443426811231,0.4572035126039182,0.5029654811429323,0.2480330751694754,0.2331182868731806,White LED,25 mA,b'OK Read',10:24:03,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,150,0.2221393552196193,0.1709346586552763,0.5199601839103536,0.57082505307444,0.2725625833274683,0.2533324536403872,White LED,50 mA,b'OK Read',10:24:04,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,150,0.2324806298631889,0.1821345200646872,0.5714009936108879,0.6319813188299849,0.2862263847735218,0.2664982756056055,White LED,100 mA,b'OK Read',10:24:05,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,200,0.2030655900166303,0.1582610938214451,0.4721567304199811,0.5207707271558971,0.2487327093368257,0.231791823637638,White LED,12.5 mA,b'OK Read',10:24:06,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,200,0.2039525777736818,0.1572044151081588,0.4731360194591416,0.5225634461498037,0.2495111374164836,0.2334110796465819,White LED,25 mA,b'OK Read',10:24:07,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,200,0.2232767036689785,0.1758776410161141,0.5536261242632395,0.6146771041343686,0.276821700492629,0.2574164201247675,White LED,50 mA,b'OK Read',10:24:08,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,200,0.2342495932939451,0.1877207307419545,0.6006414062686855,0.6730368978097191,0.291208570523493,0.271219299541362,White LED,100 mA,b'OK Read',10:24:10,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,250,0.2027467652701755,0.1610255672901852,0.4860612559105496,0.5423132940412168,0.2516924430266048,0.23314014319443,White LED,12.5 mA,b'OK Read',10:24:12,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,250,0.2037480319810827,0.1584569339834665,0.478561656422927,0.535736500993238,0.2509913160373588,0.2335873901247503,White LED,25 mA,b'OK Read',10:24:13,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,250,0.2233943713783873,0.1758559475779155,0.5522337967964968,0.617661521475588,0.2772054309707497,0.257163583830839,White LED,50 mA,b'OK Read',10:24:15,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,1,64,250,0.2350322021676018,0.1873140439177892,0.5987788731714565,0.6745672781390533,0.2923538136409094,0.2716822861220368,White LED,100 mA,b'OK Read',10:24:17,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,50,0.2101306663031034,0.1616466493406996,0.4830536733474794,0.5319004398581406,0.2474929794643844,0.2365797731194813,White LED,12.5 mA,b'OK Read',10:24:28,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,50,0.2107201320478302,0.1592699289342022,0.4729640015641796,0.5168622719038679,0.2519089366195428,0.2322867049871499,White LED,25 mA,b'OK Read',10:24:29,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
1,2,64,50,0.2305296541883887,0.1747827611961372,0.5357497420660206,0.5844313807144015,0.2759130273029783,0.2554130701621551,White LED,50 mA,b'OK Read',10:24:30,24.128911523333333,19.630075533333333,4.498835993666666,2.1551265993333337,1.754398171,0.4007284283333334
