Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
1,1,64,50,0.19866903355742338,0.1492123824211097,0.5188355464466963,0.5734533712173522,0.26811728465527807,0.22412766909754558,White LED,12.5 mA,b'OK Read',9:48:29
1,1,64,50,0.19860127230625882,0.14766317582821822,0.5286070548667251,0.5900851047241283,0.26964916534298317,0.21938235803156275,White LED,25 mA,b'OK Read',9:48:31
1,1,64,50,0.2117403848628229,0.16006030894981307,0.6027183374001714,0.6697128340210651,0.29250936835729013,0.2403886994965817,White LED,50 mA,b'OK Read',9:48:32
1,1,64,50,0.21349651718628976,0.1647428726340776,0.6366917504349021,0.7109471914707478,0.3012451208630557,0.2458332050048813,White LED,100 mA,b'OK Read',9:48:33
1,1,64,100,0.19762693009124782,0.15036337403120378,0.5605808857855661,0.6266000728846293,0.28248160729372007,0.23131209776902262,White LED,12.5 mA,b'OK Read',9:48:34
1,1,64,100,0.1984728194579704,0.1499834870596309,0.5623303036292545,0.6283980265630624,0.27738367994360236,0.22656153581477884,White LED,25 mA,b'OK Read',9:48:36
1,1,64,100,0.21252140104996226,0.16285734250787545,0.6362406415582434,0.715578744253477,0.29965477139779645,0.24602397801645812,White LED,50 mA,b'OK Read',9:48:37
1,1,64,100,0.2142731897763955,0.16727728292628483,0.6626647973904567,0.7491347440896826,0.30877431483357076,0.2504782067577493,White LED,100 mA,b'OK Read',9:48:38
1,1,64,150,0.1974229295851386,0.15249894362740568,0.5741226332004441,0.6448815250186261,0.28520920074316675,0.22986195063647913,White LED,12.5 mA,b'OK Read',9:48:40
1,1,64,150,0.1984319277458461,0.151655644640976,0.5807715024405464,0.6534253495747836,0.2800754982626123,0.22880108503125937,White LED,25 mA,b'OK Read',9:48:41
1,1,64,150,0.21313566418527424,0.16589977783687782,0.656697103489814,0.7461438742534547,0.3057679208979028,0.249569916474388,White LED,50 mA,b'OK Read',9:48:42
1,1,64,150,0.2150530417027462,0.1696038098086576,0.6762883758745486,0.771537904865798,0.31339966589602236,0.2533917326086945,White LED,100 mA,b'OK Read',9:48:44
1,1,64,200,0.1974014594084422,0.15388218485826077,0.5808873309362259,0.6556303748888713,0.2867328964298763,0.231791823637638,White LED,12.5 mA,b'OK Read',9:48:45
1,1,64,200,0.1982803232060106,0.15283311454786142,0.5873682639576722,0.6655694301638463,0.2824822154182364,0.23178956428415834,White LED,25 mA,b'OK Read',9:48:46
1,1,64,200,0.21432075803139541,0.16770605984975379,0.6638994863476557,0.7562847038357906,0.30920464056737795,0.25173785671714144,White LED,50 mA,b'OK Read',9:48:48
1,1,64,200,0.21658905461272784,0.17063260163645738,0.6792596185651985,0.774781061936362,0.31627380327457755,0.2555562561022622,White LED,100 mA,b'OK Read',9:48:49
1,1,64,250,0.19744180992731206,0.15301181848614304,0.5754106092821818,0.6484547784951884,0.2876490740912475,0.23063396677056572,White LED,12.5 mA,b'OK Read',9:48:50
1,1,64,250,0.1984059683575643,0.1523674750238827,0.5847717573505252,0.6612857916808796,0.2816526100727956,0.23099164384503643,White LED,25 mA,b'OK Read',9:48:52
1,1,64,250,0.2147729659140612,0.16710117065157545,0.6590595104729075,0.7491211121474737,0.3098671513878884,0.25185305826099713,White LED,50 mA,b'OK Read',9:48:53
1,1,64,250,0.21716380368733887,0.16976582962577025,0.6721308062200527,0.7652070825418393,0.3157422307590873,0.255156911970117,White LED,100 mA,b'OK Read',9:48:55
1,2,64,50,0.19580357541880095,0.1429951310227117,0.5188355464466963,0.5734533712173522,0.26811728465527807,0.21167556507560986,White LED,12.5 mA,b'OK Read',9:49:07
1,2,64,50,0.19538603153520123,0.1418599215957842,0.5316982426768289,0.5900851047241283,0.2661013915104493,0.21938235803156275,White LED,25 mA,b'OK Read',9:49:08
1,2,64,50,0.20827161249501708,0.15402020000834032,0.6190082516020963,0.6847624709533405,0.2883601837263247,0.2366324529361143,White LED,50 mA,b'OK Read',9:49:10
1,2,64,50,0.20995509188660905,0.15878829131479222,0.6572299366107829,0.7306350783561937,0.29943016710439196,0.23927735204565106,White LED,100 mA,b'OK Read',9:49:11
1,2,64,100,0.19402498167144214,0.14599583168885405,0.5784712845045251,0.6473475452492072,0.2790375950436496,0.22506014253884166,White LED,12.5 mA,b'OK Read',9:49:12
1,2,64,100,0.19499300699333022,0.14545809520994735,0.5746888806987143,0.6434626629833884,0.2738277147705758,0.22332479089170854,White LED,25 mA,b'OK Read',9:49:13
1,2,64,100,0.20875610346187054,0.15776213716726745,0.6479561405942242,0.7318139135837377,0.2965441778580888,0.24038958736537294,White LED,50 mA,b'OK Read',9:49:14
1,2,64,100,0.2104118271798849,0.16150340739937144,0.6736438561092356,0.7610774405191258,0.3051525709073131,0.24556717450012328,White LED,100 mA,b'OK Read',9:49:16
1,2,64,150,0.1942127782642073,0.14749878001414188,0.5860418217897846,0.6614872207652218,0.2829088386785169,0.22568245564166756,White LED,12.5 mA,b'OK Read',9:49:17
1,2,64,150,0.19502642224116618,0.14690965731118336,0.5890097398979204,0.663455277954584,0.27651545640705216,0.22448388318933818,White LED,25 mA,b'OK Read',9:49:18
1,2,64,150,0.209311508111818,0.15973201839024118,0.6638939201064762,0.7511290380858127,0.3009256332291156,0.24329963780492767,White LED,50 mA,b'OK Read',9:49:19
1,2,64,150,0.21103453880554582,0.1625690119343017,0.6820283268425065,0.7737070876228964,0.30796500967152224,0.24683872960991118,White LED,100 mA,b'OK Read',9:49:20
1,2,64,200,0.19414760286573335,0.1479395324037523,0.5913132437677714,0.6660047356236852,0.28327785259538657,0.2286583362537235,White LED,12.5 mA,b'OK Read',9:49:22
1,2,64,200,0.19491433670229477,0.1470047138007981,0.595858250013736,0.6720205604117191,0.2780261106115619,0.22530669061040595,White LED,25 mA,b'OK Read',9:49:23
